day,mean_Istar
1.0,8.85
2.0,12.9
3.0,20.5
4.0,28.6
5.0,44.0
6.0,66.6
7.0,95.95
8.0,145.65
9.0,207.4
10.0,303.0
11.0,413.6
12.0,551.35
13.0,700.8
14.0,843.75
15.0,972.7
16.0,1052.5
17.0,1113.35
18.0,1158.95
19.0,1150.9
20.0,1158.45
21.0,1118.35
22.0,1097.5
23.0,1039.15
24.0,1023.65
25.0,978.85
26.0,948.2
27.0,916.5
28.0,882.05
29.0,860.8
30.0,829.05
31.0,813.9
32.0,787.9
33.0,767.1
34.0,741.65
35.0,720.35
36.0,718.3
37.0,693.7
38.0,675.5
39.0,669.0
40.0,648.05
41.0,643.85
42.0,635.8
43.0,632.0
44.0,612.45
45.0,609.35
46.0,604.6
47.0,599.95
48.0,594.3
49.0,584.3
50.0,579.8
