Istar[1],Istar[2],Istar[3],Istar[4],Istar[5],Istar[6],Istar[7],Istar[8],Istar[9],Istar[10],Istar[11],Istar[12],Istar[13],Istar[14],Istar[15],Istar[16],Istar[17],Istar[18],Istar[19],Istar[20],Istar[21],Istar[22],Istar[23],Istar[24],Istar[25],Istar[26],Istar[27],Istar[28],Istar[29],Istar[30],Istar[31],Istar[32],Istar[33],Istar[34],Istar[35],Istar[36],Istar[37],Istar[38],Istar[39],Istar[40],Istar[41],Istar[42],Istar[43],Istar[44],Istar[45],Istar[46],Istar[47],Istar[48],Istar[49],Istar[50],Rstar[1],Rstar[2],Rstar[3],Rstar[4],Rstar[5],Rstar[6],Rstar[7],Rstar[8],Rstar[9],Rstar[10],Rstar[11],Rstar[12],Rstar[13],Rstar[14],Rstar[15],Rstar[16],Rstar[17],Rstar[18],Rstar[19],Rstar[20],Rstar[21],Rstar[22],Rstar[23],Rstar[24],Rstar[25],Rstar[26],Rstar[27],Rstar[28],Rstar[29],Rstar[30],Rstar[31],Rstar[32],Rstar[33],Rstar[34],Rstar[35],Rstar[36],Rstar[37],Rstar[38],Rstar[39],Rstar[40],Rstar[41],Rstar[42],Rstar[43],Rstar[44],Rstar[45],Rstar[46],Rstar[47],Rstar[48],Rstar[49],Rstar[50],alarm[1],alarm[2],alarm[3],alarm[4],alarm[5],alarm[6],alarm[7],alarm[8],alarm[9],alarm[10],alarm[11],alarm[12],alarm[13],alarm[14],alarm[15],alarm[16],alarm[17],alarm[18],alarm[19],alarm[20],alarm[21],alarm[22],alarm[23],alarm[24],alarm[25],alarm[26],alarm[27],alarm[28],alarm[29],alarm[30],alarm[31],alarm[32],alarm[33],alarm[34],alarm[35],alarm[36],alarm[37],alarm[38],alarm[39],alarm[40],alarm[41],alarm[42],alarm[43],alarm[44],alarm[45],alarm[46],alarm[47],alarm[48],alarm[49],alarm[50]
4.0,9.0,18.0,31.0,40.0,69.0,102.0,155.0,227.0,314.0,505.0,799.0,1141.0,1643.0,2236.0,3260.0,4328.0,5513.0,6694.0,7806.0,8215.0,8271.0,8043.0,7128.0,6574.0,5634.0,4981.0,4318.0,3841.0,3304.0,2963.0,2708.0,2623.0,2505.0,2496.0,2587.0,2823.0,2955.0,3226.0,3385.0,3718.0,3993.0,4282.0,4458.0,4720.0,4704.0,4714.0,4682.0,4482.0,4370.0,2.0,3.0,2.0,9.0,20.0,29.0,32.0,47.0,92.0,105.0,168.0,286.0,423.0,638.0,860.0,1296.0,1858.0,2483.0,3395.0,4291.0,5332.0,6127.0,6633.0,7197.0,7109.0,7087.0,6586.0,6035.0,5601.0,5106.0,4564.0,4111.0,3752.0,3478.0,3158.0,2963.0,2866.0,2838.0,2905.0,2901.0,3159.0,3211.0,3549.0,3737.0,3850.0,4111.0,4305.0,4319.0,4515.0,4580.0,0.0,0.0009086796276764897,0.0014761868911106202,0.002345741420933578,0.003516556953939598,0.004625679366492386,0.006456432122373568,0.008824641462768179,0.012085789198004404,0.016404954691972118,0.021783041255347246,0.029997457245140913,0.042139684465230864,0.057946444640530226,0.07882844176835258,0.11162269753547771,0.15732029251131896,0.21431503360351478,0.2812953910739481,0.355001429484319,0.43129034801255195,0.501651492366755,0.5633623843748188,0.6155855300043718,0.6560105510639622,0.688436552722155,0.7120763703249646,0.729571828400568,0.7411298957117585,0.747827265131293,0.7480084188562232,0.7423277380857878,0.7302509498148433,0.7117142622134337,0.6856638014289096,0.6549260208967378,0.6214130964508746,0.5877900070124851,0.5587856032429784,0.5340533942758268,0.5166694816519178,0.5066253945012444,0.5040073674476835,0.5075564933127006,0.5167245784328637,0.5303579599548404,0.545381806241634,0.5606077018129072,0.5759205390150175,0.5894259256394636
4.0,15.0,25.0,24.0,39.0,50.0,98.0,114.0,179.0,262.0,426.0,578.0,885.0,1300.0,1830.0,2695.0,3602.0,4763.0,6028.0,7150.0,7864.0,8260.0,8046.0,7640.0,6995.0,6174.0,5428.0,4782.0,4108.0,3559.0,3341.0,2935.0,2674.0,2592.0,2557.0,2558.0,2645.0,2834.0,2963.0,3122.0,3487.0,3681.0,4057.0,4383.0,4434.0,4672.0,4864.0,4631.0,4655.0,4328.0,1.0,4.0,5.0,16.0,18.0,24.0,35.0,50.0,62.0,100.0,153.0,212.0,343.0,486.0,668.0,1008.0,1501.0,2140.0,2829.0,3815.0,4615.0,5647.0,6307.0,6692.0,7056.0,6983.0,6782.0,6433.0,5885.0,5486.0,5146.0,4468.0,3965.0,3590.0,3380.0,3127.0,2974.0,2991.0,2834.0,2957.0,2871.0,3124.0,3203.0,3469.0,3746.0,3942.0,4292.0,4367.0,4424.0,4481.0,0.0,0.0009086796276764897,0.0021567719825316134,0.0033278083088249533,0.00385621483855747,0.004851879824999794,0.005929398820687326,0.008245191979669997,0.010428439124034905,0.013743489086738725,0.01824141062531137,0.02521527273952162,0.03377510143133322,0.046094065513063165,0.06286516348714477,0.09024629138619655,0.12899724318612382,0.17816944710068183,0.23908403862190175,0.30967597609153685,0.3849620842834288,0.45797753987732326,0.5253054013609783,0.5824079055967244,0.6297274058957969,0.6673444978036529,0.6963718015287137,0.7180713506190674,0.7336516168512746,0.7433776090134582,0.7469732778608579,0.7458924061865838,0.7381922222561645,0.723454870641316,0.7020948878409584,0.6751474487072384,0.6434849789170846,0.610666353785778,0.5789434449778287,0.5503534630458571,0.5274344959725275,0.5122573026749565,0.5034335909612353,0.5030210338706842,0.5096450741716914,0.5182961333117095,0.5317328542250719,0.548143195025852,0.5629068414246866,0.5775964704596462
8.0,15.0,14.0,29.0,39.0,51.0,80.0,133.0,197.0,261.0,442.0,705.0,993.0,1476.0,2240.0,3081.0,4220.0,5518.0,6967.0,7600.0,8195.0,8378.0,8148.0,7466.0,6488.0,5758.0,5101.0,4415.0,3870.0,3419.0,2955.0,2709.0,2553.0,2564.0,2439.0,2558.0,2732.0,2953.0,3166.0,3488.0,3705.0,4047.0,4292.0,4447.0,4572.0,4731.0,4805.0,4784.0,4694.0,4431.0,2.0,3.0,10.0,10.0,17.0,16.0,33.0,42.0,68.0,86.0,148.0,225.0,355.0,549.0,803.0,1227.0,1661.0,2385.0,3410.0,4359.0,5236.0,6033.0,6716.0,7119.0,7144.0,6835.0,6769.0,6174.0,5709.0,5314.0,4832.0,4237.0,3764.0,3471.0,3186.0,2952.0,2842.0,2745.0,2887.0,2994.0,3125.0,3256.0,3469.0,3720.0,4015.0,4133.0,4304.0,4360.0,4521.0,4527.0,0.0,0.001816537186474343,0.0026102387791472337,0.002799122718677771,0.003743008352863453,0.004761405783653472,0.005891742935877353,0.007633184969563556,0.010428439124034905,0.01419171336400915,0.01862068421399543,0.02587974779813529,0.03669908465599725,0.05055393080745252,0.06959757441660219,0.10271902748359452,0.14631085970415014,0.20270074208480893,0.2707500209982501,0.3484430678409848,0.42374418298518923,0.4950515190391188,0.558505166776261,0.6121612958424687,0.6551510732931127,0.6875405117569657,0.7122736929397047,0.7309371598055481,0.7435451926887632,0.7502823325172683,0.7516571451277856,0.7464727544190192,0.734572034768113,0.7147382083591919,0.6903018345459917,0.6598102711603857,0.6259410157220161,0.5914151263230778,0.5602352846436603,0.5357806115286441,0.5182961333117095,0.507219573541457,0.5042576825119125,0.5076527139734368,0.5158265091775774,0.5284109915369166,0.5436901562351131,0.560127798224797,0.5757546561404121,0.5910620451537918
6.0,7.0,12.0,14.0,25.0,30.0,50.0,72.0,109.0,169.0,229.0,347.0,538.0,792.0,1163.0,1754.0,2477.0,3335.0,4438.0,5715.0,6844.0,7743.0,8177.0,8441.0,7783.0,7245.0,6379.0,5675.0,4873.0,4160.0,3843.0,3281.0,2941.0,2835.0,2569.0,2428.0,2482.0,2641.0,2646.0,2958.0,3130.0,3330.0,3696.0,3967.0,4222.0,4385.0,4641.0,4713.0,4692.0,4594.0,5.0,2.0,4.0,4.0,10.0,16.0,19.0,29.0,39.0,59.0,102.0,115.0,191.0,274.0,438.0,643.0,947.0,1433.0,1941.0,2579.0,3371.0,4342.0,5377.0,6177.0,6807.0,7141.0,7090.0,7063.0,6442.0,6119.0,5597.0,5085.0,4536.0,4121.0,3733.0,3432.0,3126.0,2986.0,2946.0,2896.0,2797.0,3007.0,2990.0,3239.0,3434.0,3618.0,3777.0,4122.0,4190.0,4395.0,0.0,0.0013627111193802444,0.0014761868911106202,0.0018921548989901948,0.002213466555523902,0.00290488216859508,0.003554302412228205,0.004664460223161471,0.006117656944373495,0.008173631621717914,0.011164756336209947,0.014827481506887175,0.02006207881827038,0.027722116365739846,0.03821503158716866,0.0561149064915718,0.08251606685256718,0.1185219133849017,0.1648164942636613,0.22260875794491775,0.2912281405099234,0.3653666280137996,0.439833208287554,0.5087819055949194,0.5707060493218469,0.6204366351357725,0.660818666125971,0.6916482140011024,0.7152685581774838,0.7320026033188268,0.7423277380857878,0.7480125344802094,0.7477901949907226,0.7415480815712289,0.7291033923892326,0.7095225899641879,0.6832026390154903,0.6523614049206286,0.6178786096298039,0.5845054469362256,0.5544442457791412,0.5302279012982163,0.5119394814835343,0.5024947311529744,0.5009287447615988,0.5039992906734521,0.5128367952785633,0.5261396603269719,0.5404153180246964,0.5560383408462037
1.0,8.0,11.0,17.0,28.0,49.0,57.0,104.0,148.0,213.0,340.0,514.0,791.0,1128.0,1688.0,2425.0,3345.0,4406.0,5675.0,6788.0,7729.0,8231.0,8164.0,7914.0,7178.0,6413.0,5673.0,4836.0,4167.0,3658.0,3388.0,2975.0,2767.0,2585.0,2525.0,2588.0,2669.0,2933.0,2973.0,3255.0,3565.0,3921.0,4099.0,4337.0,4377.0,4598.0,4739.0,4634.0,4599.0,4616.0,2.0,4.0,2.0,7.0,11.0,9.0,25.0,33.0,52.0,81.0,109.0,175.0,298.0,397.0,632.0,910.0,1349.0,1892.0,2645.0,3553.0,4353.0,5261.0,6016.0,6822.0,7049.0,7119.0,7069.0,6462.0,6052.0,5484.0,4978.0,4653.0,4080.0,3729.0,3362.0,3210.0,2965.0,2870.0,2909.0,2935.0,3010.0,3151.0,3466.0,3637.0,3788.0,3878.0,4131.0,4373.0,4325.0,4455.0,0.0,0.00022724701639997846,0.0010222067642176036,0.0015140092954841755,0.002100074202309399,0.0029502042285523,0.004308912723048897,0.00553663190987197,0.007782194975197054,0.010625218518834356,0.014351033116827505,0.01996420641156116,0.027826943874314614,0.039096336641012086,0.05384383846991614,0.07941167787188785,0.11484899645841162,0.1615127576608376,0.21922818887168705,0.2877047899908105,0.36163944956331484,0.4365507269446145,0.5063762697162033,0.5667992168505676,0.6178972979227173,0.6582140419947863,0.6895732694242287,0.7133472050806036,0.7301848763324372,0.7408888165138945,0.7460542073969032,0.7462324847130436,0.7402321193374983,0.7275998510616493,0.708253922713565,0.6823952694180362,0.6517712494996349,0.6191287154422263,0.5869157628418266,0.5576195503562436,0.5342658528176241,0.5179979299153963,0.5107617492480564,0.510219680783762,0.5156056767182597,0.5233453429143284,0.5357806115286441,0.5504560038304854,0.5652152561858583,0.5796632784865834
5.0,12.0,16.0,29.0,43.0,67.0,111.0,153.0,264.0,344.0,502.0,781.0,1158.0,1630.0,2314.0,3267.0,4441.0,5595.0,6946.0,7759.0,8316.0,8324.0,7887.0,7225.0,6355.0,5696.0,4960.0,4165.0,3514.0,3147.0,2875.0,2742.0,2505.0,2454.0,2437.0,2579.0,2782.0,2961.0,3179.0,3466.0,3809.0,3866.0,4252.0,4386.0,4484.0,4715.0,4733.0,4664.0,4429.0,4266.0,4.0,2.0,7.0,8.0,15.0,23.0,31.0,51.0,89.0,143.0,189.0,281.0,424.0,607.0,930.0,1284.0,1874.0,2519.0,3487.0,4474.0,5273.0,6078.0,6745.0,7205.0,7381.0,6874.0,6652.0,6105.0,5556.0,4884.0,4419.0,3992.0,3703.0,3286.0,3120.0,2895.0,2816.0,2953.0,2824.0,2959.0,3178.0,3275.0,3526.0,3590.0,3851.0,3969.0,4247.0,4386.0,4385.0,4450.0,0.0,0.0011357210574052257,0.0019299616164807354,0.0024968913183045505,0.003516556953939598,0.004761405783653472,0.006494066711375979,0.009146412184678043,0.012310301764906884,0.017522125556091672,0.023449203796863216,0.03143956129057657,0.043119001163426485,0.05911536140423934,0.07969568533797,0.11356851780243271,0.15922108888907438,0.21755149378362448,0.2852338847795457,0.36113045699689383,0.4362847338346675,0.5067699901549775,0.568236753250734,0.6186813850741906,0.6591548822519264,0.6901956915919423,0.714076221478093,0.73128400038984,0.7421804153139511,0.7471839474546749,0.746687976075186,0.7401260453642335,0.7277332422319306,0.7072617762358082,0.680790004072872,0.6486622601319738,0.6141603424094705,0.5806826540888639,0.5505145881113914,0.5266487664813277,0.5091417428563206,0.49985488237996123,0.49741390653762463,0.5034174186771384,0.5133363542478477,0.5259235112351539,0.540916631407977,0.5572806772338555,0.5729386606926792,0.5865790237615947
5.0,9.0,24.0,25.0,37.0,55.0,80.0,124.0,191.0,277.0,396.0,608.0,933.0,1383.0,1959.0,2774.0,3890.0,5041.0,6464.0,7484.0,8142.0,8385.0,8052.0,7529.0,6839.0,6020.0,5283.0,4533.0,4075.0,3497.0,3095.0,2826.0,2656.0,2532.0,2575.0,2441.0,2614.0,2820.0,3084.0,3297.0,3587.0,3945.0,4267.0,4464.0,4677.0,4831.0,4852.0,4762.0,4619.0,4391.0,0.0,5.0,7.0,7.0,17.0,21.0,37.0,46.0,66.0,100.0,146.0,211.0,326.0,485.0,765.0,1078.0,1596.0,2114.0,3033.0,4021.0,4939.0,5889.0,6678.0,6899.0,7035.0,7091.0,6631.0,6390.0,5929.0,5403.0,4851.0,4249.0,3929.0,3584.0,3324.0,3107.0,2880.0,2843.0,2695.0,2988.0,2904.0,3125.0,3393.0,3614.0,3884.0,4142.0,4385.0,4481.0,4492.0,4552.0,0.0,0.0011357210574052257,0.0015896498252223612,0.0028746663224532565,0.003573174607572893,0.004535184850572693,0.00585408563092038,0.007600963660681526,0.010147258107375379,0.01379330180229188,0.01862068421399543,0.02495338595443919,0.03408619373243316,0.047177661413584926,0.0651146722432564,0.09431507167569131,0.13408988112378428,0.18680337933382607,0.2504630495732426,0.3248298386054006,0.4016814114327858,0.47525482488372606,0.5413053351800359,0.5964515000248042,0.6414501664036468,0.6772183449904674,0.7045015506972028,0.7247565971144019,0.7385553685262161,0.7474356954730053,0.7504005863922578,0.7471385236906503,0.7378242925901605,0.7210061310827667,0.6975191855895169,0.6687578083336875,0.6350381286060874,0.6012051179975753,0.5693959915477242,0.5422309223867183,0.5214707588409286,0.5080694539165961,0.5033365493905666,0.5048869512974834,0.5126225423207655,0.5250192542487726,0.540280543961861,0.556435976591214,0.5722631241055585,0.5862757249284218
6.0,14.0,13.0,29.0,50.0,78.0,107.0,192.0,294.0,390.0,621.0,897.0,1296.0,1830.0,2631.0,3763.0,4886.0,6064.0,7176.0,8042.0,8277.0,8124.0,7627.0,6914.0,6127.0,5234.0,4585.0,3901.0,3455.0,3083.0,2838.0,2602.0,2543.0,2544.0,2639.0,2737.0,2871.0,3104.0,3472.0,3710.0,4070.0,4290.0,4517.0,4707.0,4715.0,4704.0,4700.0,4529.0,4430.0,4358.0,2.0,4.0,5.0,8.0,13.0,28.0,32.0,49.0,102.0,150.0,235.0,337.0,537.0,679.0,988.0,1494.0,2078.0,3004.0,3800.0,4660.0,5757.0,6463.0,6913.0,7002.0,7172.0,6635.0,6388.0,5833.0,5193.0,4834.0,4275.0,3855.0,3414.0,3348.0,2998.0,2930.0,2958.0,2936.0,2995.0,3021.0,3231.0,3483.0,3727.0,3887.0,4318.0,4376.0,4367.0,4473.0,4526.0,4488.0,0.0,0.0013627111193802444,0.0022701579214413625,0.0024968913183045505,0.003516556953939598,0.005078029105232695,0.007171246665656161,0.009596716484951529,0.013796415013854313,0.019579372272942375,0.026308396753011776,0.036390489570851337,0.049694364450632134,0.06733899984415226,0.0901280847296726,0.12810544920057,0.17962363392114444,0.24208341376917164,0.3129123801891802,0.3881058714211416,0.4624848786595641,0.5294391316863879,0.5864846878541499,0.6330749984618913,0.6701113296785697,0.6984556374967016,0.7190637112951401,0.7337516269874509,0.7426053187404147,0.7460459123946832,0.743209916310619,0.7344766671476404,0.7190361927366525,0.6969658160085234,0.6685253760713857,0.6365999157258959,0.6032409840101252,0.5712652892063623,0.5438090727076916,0.5236480107868092,0.5116771237872723,0.5075645124161132,0.5106741022157169,0.5190643367730121,0.5316184329234006,0.5457223463678933,0.5610155675984683,0.5761761486046894,0.589666742867293,0.6014715368499897
9.0,14.0,27.0,40.0,50.0,86.0,151.0,198.0,292.0,422.0,655.0,977.0,1446.0,2094.0,2866.0,3833.0,5169.0,6411.0,7277.0,8065.0,8408.0,8001.0,7563.0,6753.0,5991.0,5268.0,4549.0,4073.0,3502.0,3089.0,2795.0,2600.0,2429.0,2521.0,2589.0,2673.0,2809.0,3098.0,3256.0,3557.0,3890.0,4089.0,4446.0,4632.0,4576.0,4675.0,4683.0,4559.0,4592.0,4281.0,1.0,6.0,9.0,13.0,19.0,22.0,60.0,88.0,91.0,156.0,225.0,349.0,546.0,805.0,1202.0,1558.0,2235.0,3172.0,3965.0,4927.0,5709.0,6461.0,7059.0,7175.0,7018.0,6717.0,6372.0,5824.0,5277.0,4843.0,4403.0,3815.0,3525.0,3257.0,2945.0,2880.0,2890.0,2863.0,2850.0,3112.0,3169.0,3284.0,3510.0,3947.0,4019.0,4189.0,4323.0,4408.0,4425.0,4527.0,0.0,0.002043373214701494,0.0026102387791472337,0.003780745271213082,0.005100641218905966,0.00634351983909387,0.008524228262830502,0.012165978089734852,0.016203108534711297,0.021657038480644264,0.02887233628613539,0.03937276571442472,0.053825914312144785,0.07351644215252773,0.09959496104505872,0.140424482040583,0.19213725753204924,0.256904640073197,0.33002510503312243,0.4043331822369721,0.47687545915350793,0.5426930184392136,0.597292523470976,0.6423086420618314,0.6774026060372809,0.7043037478295469,0.7243068644235151,0.7379270223909136,0.7462614948060451,0.7488835375150782,0.7458135427782819,0.7357655713065252,0.7188021766102495,0.6956475204525977,0.6668340202834497,0.6336668308191954,0.6004243360938537,0.568236753250734,0.5417459676756478,0.5208702795392617,0.507331905624032,0.5020165298068396,0.5021462567327947,0.5097408885272604,0.5219070004000531,0.5355764058438703,0.551012247704658,0.5672013604620827,0.5813381288751192,0.5947840171294908
14.0,11.0,13.0,21.0,23.0,26.0,43.0,73.0,102.0,159.0,244.0,374.0,544.0,823.0,1202.0,1713.0,2498.0,3343.0,4588.0,5797.0,6875.0,7833.0,8146.0,8132.0,7665.0,7116.0,6089.0,5532.0,4818.0,4174.0,3705.0,3205.0,2960.0,2801.0,2611.0,2606.0,2632.0,2761.0,2817.0,3100.0,3357.0,3666.0,3875.0,4143.0,4375.0,4566.0,4547.0,4618.0,4580.0,4504.0,3.0,7.0,8.0,9.0,14.0,14.0,21.0,14.0,43.0,72.0,91.0,138.0,176.0,302.0,455.0,671.0,952.0,1392.0,1966.0,2670.0,3542.0,4490.0,5326.0,6269.0,6761.0,7036.0,6987.0,6632.0,6526.0,6039.0,5493.0,4924.0,4407.0,4078.0,3639.0,3399.0,3138.0,3100.0,2974.0,2904.0,2817.0,3094.0,3304.0,3413.0,3731.0,3836.0,4030.0,4270.0,4280.0,4316.0,0.0,0.0031767837650192865,0.0028368952328017283,0.0028746663224532565,0.0033466847749556994,0.003720365518741109,0.004082589389547753,0.004890651907427324,0.00634351983909387,0.008198678331734932,0.010962463991336047,0.014949610821890391,0.020674404088365406,0.028384890107502447,0.039307538209391146,0.05766164049052913,0.0833500816408278,0.11960938672375665,0.16586065090452173,0.22549658547621032,0.29484879713932965,0.3690002940246996,0.44384845305482534,0.5121143086457856,0.5715376556073224,0.6203499924101402,0.6598768505551386,0.6892945479009542,0.712278389455856,0.7287714638872711,0.7394546596333043,0.7445400651398566,0.7439636753445487,0.7370654211414474,0.7238834486426984,0.7039802252343264,0.6776235810636313,0.6472844143698315,0.6150022774435353,0.583345971242558,0.5551695396560166,0.5349253766372153,0.5205736626977456,0.5131540347141113,0.5129081920908855,0.5181941370363956,0.5287565116631038,0.54078200370962,0.5541755887398981,0.5682508232096184
