Istar[1],Istar[2],Istar[3],Istar[4],Istar[5],Istar[6],Istar[7],Istar[8],Istar[9],Istar[10],Istar[11],Istar[12],Istar[13],Istar[14],Istar[15],Istar[16],Istar[17],Istar[18],Istar[19],Istar[20],Istar[21],Istar[22],Istar[23],Istar[24],Istar[25],Istar[26],Istar[27],Istar[28],Istar[29],Istar[30],Istar[31],Istar[32],Istar[33],Istar[34],Istar[35],Istar[36],Istar[37],Istar[38],Istar[39],Istar[40],Istar[41],Istar[42],Istar[43],Istar[44],Istar[45],Istar[46],Istar[47],Istar[48],Istar[49],Istar[50],Rstar[1],Rstar[2],Rstar[3],Rstar[4],Rstar[5],Rstar[6],Rstar[7],Rstar[8],Rstar[9],Rstar[10],Rstar[11],Rstar[12],Rstar[13],Rstar[14],Rstar[15],Rstar[16],Rstar[17],Rstar[18],Rstar[19],Rstar[20],Rstar[21],Rstar[22],Rstar[23],Rstar[24],Rstar[25],Rstar[26],Rstar[27],Rstar[28],Rstar[29],Rstar[30],Rstar[31],Rstar[32],Rstar[33],Rstar[34],Rstar[35],Rstar[36],Rstar[37],Rstar[38],Rstar[39],Rstar[40],Rstar[41],Rstar[42],Rstar[43],Rstar[44],Rstar[45],Rstar[46],Rstar[47],Rstar[48],Rstar[49],Rstar[50],alarm[1],alarm[2],alarm[3],alarm[4],alarm[5],alarm[6],alarm[7],alarm[8],alarm[9],alarm[10],alarm[11],alarm[12],alarm[13],alarm[14],alarm[15],alarm[16],alarm[17],alarm[18],alarm[19],alarm[20],alarm[21],alarm[22],alarm[23],alarm[24],alarm[25],alarm[26],alarm[27],alarm[28],alarm[29],alarm[30],alarm[31],alarm[32],alarm[33],alarm[34],alarm[35],alarm[36],alarm[37],alarm[38],alarm[39],alarm[40],alarm[41],alarm[42],alarm[43],alarm[44],alarm[45],alarm[46],alarm[47],alarm[48],alarm[49],alarm[50]
5.0,10.0,14.0,24.0,33.0,52.0,93.0,109.0,179.0,261.0,355.0,453.0,597.0,770.0,854.0,949.0,1014.0,1024.0,1059.0,1035.0,1050.0,1000.0,979.0,976.0,926.0,939.0,960.0,946.0,902.0,878.0,880.0,901.0,930.0,899.0,895.0,899.0,918.0,897.0,928.0,877.0,860.0,904.0,912.0,913.0,846.0,911.0,892.0,892.0,936.0,1006.0,3.0,2.0,4.0,13.0,9.0,21.0,30.0,40.0,65.0,108.0,138.0,176.0,279.0,385.0,514.0,546.0,650.0,800.0,839.0,934.0,966.0,942.0,963.0,975.0,972.0,968.0,1020.0,955.0,933.0,956.0,953.0,889.0,949.0,918.0,902.0,892.0,869.0,885.0,897.0,892.0,879.0,921.0,893.0,939.0,891.0,919.0,883.0,837.0,905.0,976.0,0.0,0.0011357210574052257,0.0031705915774452587,0.0056887730521533175,0.009937824934858508,0.015317260683090028,0.02379560032757133,0.03947368508893512,0.055194270879810436,0.08222478205120254,0.11971914656208205,0.16643255352733233,0.21938168026909732,0.2829424627523519,0.35563673135175,0.41934281139833196,0.47690536486623225,0.5256433081116612,0.5621217495899087,0.5923710059673072,0.6127992428408797,0.6295713768493465,0.638274534128291,0.6433381890190293,0.6470694129583618,0.6459878604499304,0.6461779051504088,0.6480205021390664,0.6483554546468293,0.6450736534779428,0.6404799256512006,0.6369536900672124,0.6358772200125316,0.6374279620323271,0.6360890943102369,0.6346883860879269,0.6339060901488601,0.6348704659625762,0.6338839587784907,0.635685548095244,0.6328610759934492,0.6291651421466793,0.629937699846195,0.6312244434657533,0.6323275682393457,0.6275487256245452,0.6292495192614291,0.628989717046307,0.628783166245023,0.632330417168427
9.0,11.0,21.0,25.0,42.0,69.0,95.0,142.0,206.0,307.0,391.0,521.0,687.0,824.0,918.0,993.0,1026.0,1076.0,1098.0,1078.0,986.0,971.0,931.0,971.0,981.0,936.0,919.0,937.0,904.0,906.0,978.0,943.0,949.0,924.0,973.0,883.0,956.0,887.0,907.0,912.0,988.0,928.0,937.0,882.0,920.0,944.0,906.0,910.0,899.0,907.0,2.0,2.0,8.0,15.0,9.0,20.0,36.0,52.0,76.0,111.0,173.0,230.0,303.0,399.0,564.0,607.0,734.0,816.0,865.0,1012.0,998.0,1027.0,933.0,1004.0,961.0,981.0,903.0,955.0,966.0,960.0,915.0,917.0,975.0,913.0,923.0,985.0,923.0,929.0,884.0,906.0,918.0,981.0,937.0,939.0,954.0,907.0,969.0,896.0,915.0,887.0,0.0,0.002043373214701494,0.004116722775719173,0.008018147644892615,0.012005740512651686,0.018960635778119017,0.030420484338633758,0.045091050790258325,0.06661607966259775,0.09661519569251498,0.13975190180804975,0.1882187258448742,0.247376601954844,0.31758346146048544,0.3880784635763457,0.4507713552778977,0.5045333358117736,0.5469094282879089,0.5827764649381285,0.6112039523694229,0.6307268115637443,0.6380162881012814,0.642483493188422,0.6427459537541418,0.646200184233406,0.6497216444544764,0.6489057431659799,0.6468882195383381,0.6467317978892255,0.6439348528344068,0.6418604425742831,0.6460696656070364,0.6465657932410674,0.6474427893919841,0.6461239049457718,0.6490211324241275,0.6440669182216204,0.6460298460922903,0.6419860260041304,0.6403860314648079,0.6395214202538424,0.6450455252209124,0.6445381988844205,0.6448650721891745,0.6406403896758265,0.6403814132142367,0.6421416734749588,0.6404281742223941,0.6393903713258537,0.6376548949898985
11.0,14.0,20.0,36.0,51.0,53.0,119.0,163.0,206.0,315.0,446.0,575.0,718.0,819.0,966.0,1041.0,1038.0,1074.0,1035.0,1034.0,1027.0,1029.0,1001.0,959.0,920.0,952.0,893.0,908.0,952.0,924.0,896.0,949.0,953.0,863.0,908.0,882.0,831.0,970.0,939.0,919.0,936.0,903.0,909.0,909.0,891.0,932.0,891.0,890.0,911.0,938.0,4.0,7.0,3.0,14.0,20.0,19.0,36.0,56.0,84.0,129.0,161.0,244.0,360.0,452.0,523.0,670.0,791.0,854.0,917.0,978.0,971.0,993.0,1009.0,1047.0,964.0,1000.0,931.0,945.0,922.0,919.0,940.0,939.0,934.0,926.0,925.0,920.0,866.0,884.0,950.0,927.0,868.0,890.0,923.0,933.0,929.0,911.0,891.0,851.0,946.0,859.0,0.0,0.0024968913183045505,0.005154878726109424,0.008614569909257241,0.014943622324546268,0.023279308554466915,0.03029313024166247,0.05018745800458424,0.07500341560541601,0.10307190746866246,0.14619650359449565,0.20308933803684215,0.2674135405247462,0.3367620725355651,0.4011069132398668,0.46596106463752773,0.520730767238536,0.5599287857373668,0.5921475908080511,0.6126305992019725,0.628087326898273,0.6393533078582954,0.648222421983071,0.6529020794191771,0.6532666319562794,0.6504571835033703,0.6507697779119825,0.6462850205338393,0.6439024684072588,0.6455763786752164,0.6446362601647045,0.6416037861883619,0.6435156631315009,0.6453515007923203,0.6394710439295337,0.6384628865201145,0.6355028179688196,0.6288377874086568,0.6352156939551608,0.6376499336698609,0.6379230582482927,0.6395415719878537,0.6381062290056456,0.637458670492913,0.636943341177449,0.6350367705596556,0.6369289922396502,0.6350253102866761,0.6334220167172857,0.6339023701444494
9.0,9.0,19.0,30.0,46.0,55.0,95.0,136.0,213.0,305.0,416.0,544.0,678.0,774.0,895.0,990.0,1010.0,1050.0,1094.0,1028.0,987.0,1017.0,962.0,1021.0,983.0,972.0,907.0,947.0,894.0,912.0,885.0,981.0,938.0,933.0,897.0,907.0,932.0,924.0,868.0,913.0,939.0,954.0,883.0,941.0,960.0,879.0,868.0,939.0,985.0,915.0,4.0,6.0,7.0,5.0,19.0,31.0,31.0,43.0,61.0,118.0,180.0,249.0,338.0,426.0,504.0,581.0,743.0,780.0,935.0,938.0,925.0,991.0,934.0,975.0,1010.0,988.0,962.0,982.0,993.0,906.0,942.0,913.0,957.0,916.0,970.0,927.0,903.0,906.0,871.0,956.0,891.0,958.0,910.0,894.0,952.0,937.0,898.0,896.0,935.0,930.0,0.0,0.002043373214701494,0.003663937895328373,0.0072086335968861714,0.012488051810760736,0.020232362786611224,0.028332126607279573,0.04345713657395078,0.06407146616028236,0.0960984637190394,0.1389693372296571,0.19223878346202095,0.25425383645212973,0.321155219767865,0.383646464254106,0.4447089829093831,0.4998490430307042,0.5418391170383956,0.57656552034419,0.6062516457520888,0.6227121913031464,0.6318713354965979,0.6414545638484097,0.6444545621139091,0.6515461286382846,0.6540916265455772,0.6552360287855858,0.6510010855516126,0.6508031810196615,0.6463926429259917,0.6443135272282612,0.6404433911273328,0.6452004919957322,0.6454718570707183,0.6452826181038962,0.6422034939791119,0.6405595966527656,0.641301209811433,0.6412347062596696,0.6365651211016179,0.6365645819295802,0.6387149532605296,0.6416437532607804,0.6381356455148555,0.6401207683855807,0.6432411810197555,0.6390883846835926,0.6348387534715096,0.6373524629886593,0.6431051909856955
8.0,12.0,16.0,19.0,19.0,25.0,33.0,57.0,87.0,134.0,194.0,269.0,396.0,509.0,623.0,769.0,891.0,981.0,999.0,1012.0,1058.0,1033.0,1054.0,990.0,924.0,914.0,924.0,955.0,923.0,927.0,967.0,936.0,938.0,929.0,896.0,935.0,849.0,865.0,963.0,880.0,917.0,837.0,885.0,915.0,887.0,880.0,952.0,909.0,945.0,876.0,2.0,5.0,9.0,15.0,10.0,10.0,22.0,23.0,26.0,48.0,72.0,115.0,155.0,210.0,275.0,401.0,484.0,630.0,747.0,811.0,842.0,937.0,926.0,1000.0,977.0,949.0,958.0,920.0,955.0,933.0,916.0,923.0,976.0,955.0,925.0,941.0,892.0,917.0,871.0,919.0,940.0,912.0,882.0,887.0,848.0,857.0,918.0,896.0,913.0,900.0,0.0,0.001816537186474343,0.0041632272090843525,0.006927064719645104,0.009792980535832663,0.01206417537170612,0.015208917536167932,0.01948493810567231,0.028185096022594003,0.04160083515976509,0.06220220965257395,0.09074463308948633,0.12780747768577416,0.18020644459483848,0.23940442755057667,0.30174479904606655,0.3689602796253739,0.4337009823447501,0.49094022087309586,0.5341972644322459,0.5672263228950427,0.5960601310158367,0.6154111887251421,0.6318947904247011,0.6392559157042643,0.6396102971505923,0.6390685686165685,0.6394615970764641,0.6423139934139169,0.6419580456326558,0.6420020574146859,0.6452911586024441,0.6453819515880755,0.6456159305655556,0.6450731675347146,0.6419539170143969,0.6426520433061771,0.6361314445555841,0.6322120251680103,0.637274046553642,0.6343839765378303,0.6351659414775841,0.629073648107412,0.6282563720712837,0.630147178854115,0.6292807373175202,0.6279969488661733,0.6330545041115431,0.6334434639091228,0.6367497787615322
8.0,21.0,27.0,41.0,66.0,96.0,148.0,185.0,225.0,365.0,466.0,653.0,775.0,917.0,1006.0,1091.0,1117.0,1095.0,1138.0,1051.0,1036.0,1067.0,954.0,1025.0,897.0,938.0,882.0,878.0,881.0,922.0,924.0,924.0,928.0,942.0,894.0,938.0,884.0,954.0,970.0,992.0,918.0,911.0,909.0,932.0,881.0,937.0,950.0,916.0,930.0,914.0,1.0,4.0,13.0,10.0,21.0,43.0,53.0,75.0,111.0,122.0,208.0,275.0,365.0,485.0,613.0,733.0,815.0,911.0,993.0,990.0,1086.0,1046.0,1011.0,942.0,1023.0,1050.0,996.0,890.0,873.0,917.0,936.0,906.0,938.0,930.0,932.0,903.0,888.0,930.0,955.0,939.0,1017.0,912.0,959.0,838.0,940.0,860.0,954.0,950.0,943.0,866.0,0.0,0.001816537186474343,0.006198130712009364,0.011015395473921274,0.01795618387406983,0.0289698509178532,0.0441733117980565,0.06717662589106765,0.09272459058993188,0.12056143407519315,0.16895889027327038,0.2235625223329093,0.2950399141099146,0.3650166044207873,0.4342508707246876,0.49422374151039383,0.5462085087651141,0.5861529251019804,0.6134421511454917,0.637417660702412,0.6484930246985892,0.6558754547632757,0.6640177638629392,0.6617324457793081,0.6653753816354291,0.6584013387763707,0.6559928801789305,0.6496155642648609,0.6441399361838671,0.6399753598814222,0.6400171487729709,0.6402146613796291,0.6403715148617366,0.6408242386765496,0.6423285647264483,0.639591370543766,0.6410257705323201,0.6377226532516587,0.6408619203610716,0.6446373408820383,0.6493744896098205,0.6471822911330166,0.6448636741424194,0.6428476031148511,0.6431165576878379,0.6391530194253403,0.6405968672145287,0.6428016688978979,0.6417739282000162,0.6421010068836962
9.0,10.0,10.0,16.0,30.0,39.0,53.0,68.0,114.0,191.0,252.0,347.0,442.0,553.0,664.0,864.0,948.0,976.0,1083.0,1063.0,1081.0,1000.0,1019.0,961.0,940.0,972.0,968.0,939.0,956.0,981.0,918.0,969.0,935.0,872.0,906.0,958.0,960.0,983.0,951.0,934.0,943.0,929.0,942.0,913.0,888.0,931.0,915.0,917.0,957.0,894.0,2.0,4.0,4.0,8.0,12.0,12.0,21.0,28.0,40.0,73.0,97.0,151.0,196.0,292.0,366.0,405.0,542.0,630.0,744.0,846.0,972.0,978.0,939.0,1038.0,942.0,955.0,980.0,938.0,937.0,927.0,974.0,951.0,960.0,972.0,904.0,934.0,942.0,963.0,935.0,952.0,986.0,942.0,916.0,934.0,921.0,877.0,929.0,924.0,937.0,983.0,0.0,0.002043373214701494,0.0038903559491677564,0.005355419235774095,0.007871799661440138,0.013012205679617361,0.01908614978529588,0.026986793812978194,0.03650967443412112,0.053954293203595904,0.0837709373070995,0.11909683324457354,0.16444524932358573,0.2159431329018957,0.27319092373734555,0.33276971921575904,0.4043798006765892,0.4660966281822936,0.5136731916357289,0.5593319925727518,0.5906820055037485,0.6155818025322848,0.6274606505252591,0.6382103448126244,0.6418189867218436,0.6429528587391438,0.6464437356236687,0.6488725781676619,0.6484706008360438,0.649513933701533,0.6523309450125623,0.6495479616594512,0.6514039316923618,0.6501662691518758,0.6440971679068441,0.6419901614273593,0.644552170975302,0.6467361016982135,0.6503030206728917,0.6505676293002551,0.649419576937685,0.6492262786571033,0.6479490904589864,0.6479774226793018,0.6456615496627583,0.6417718987633783,0.6421810962310719,0.6411976324810775,0.6405784672720471,0.6433575580635205
6.0,11.0,13.0,16.0,32.0,34.0,57.0,92.0,116.0,167.0,264.0,346.0,461.0,644.0,799.0,882.0,1001.0,1060.0,1084.0,1102.0,1054.0,1075.0,1029.0,1026.0,988.0,925.0,955.0,943.0,920.0,905.0,936.0,908.0,872.0,954.0,961.0,938.0,938.0,938.0,922.0,892.0,914.0,918.0,940.0,939.0,934.0,845.0,922.0,864.0,906.0,896.0,2.0,4.0,5.0,10.0,13.0,17.0,17.0,30.0,51.0,71.0,100.0,146.0,185.0,257.0,362.0,513.0,596.0,741.0,801.0,891.0,926.0,964.0,999.0,1005.0,1027.0,1048.0,1014.0,976.0,986.0,940.0,954.0,915.0,961.0,932.0,928.0,895.0,949.0,951.0,910.0,916.0,931.0,879.0,900.0,928.0,975.0,909.0,916.0,897.0,920.0,892.0,0.0,0.0013627111193802444,0.0035770701501298685,0.005784996938734577,0.008212268917170196,0.013729767344195065,0.018538066890019578,0.027439494775573836,0.042105956287502466,0.05875122305867242,0.0824715535668119,0.12050744115312406,0.16531891951490962,0.21997400649053722,0.2910003707894566,0.3656027356115451,0.4301398269765351,0.49072424032385153,0.5404771508658607,0.578844802819358,0.6086522504346823,0.6267629342660842,0.6422747531145209,0.6504886547190291,0.6566456577218898,0.6585100781102737,0.6550574655539627,0.654663185863156,0.6534012049829545,0.6505649731024468,0.6470884526318627,0.6468103395701288,0.6443227149055738,0.6393820955434373,0.64216964136829,0.6449370418473678,0.6452627123477166,0.6455212564727607,0.6457265447146434,0.6445936439300357,0.6412421699322891,0.6403676892837856,0.6400002688245039,0.6415131271563339,0.6426290501469072,0.6431060497258532,0.6361666873563863,0.6369946402573696,0.6328215775801014,0.6330073605948068
4.0,8.0,11.0,19.0,23.0,48.0,78.0,109.0,172.0,239.0,315.0,457.0,579.0,687.0,820.0,934.0,1075.0,1068.0,1086.0,1012.0,1033.0,1010.0,1034.0,991.0,975.0,986.0,1018.0,977.0,951.0,932.0,913.0,933.0,897.0,969.0,930.0,885.0,947.0,916.0,916.0,898.0,907.0,949.0,895.0,847.0,899.0,881.0,924.0,869.0,879.0,931.0,3.0,2.0,7.0,6.0,9.0,12.0,17.0,40.0,47.0,92.0,140.0,191.0,256.0,346.0,477.0,526.0,638.0,794.0,887.0,867.0,967.0,948.0,962.0,999.0,982.0,1019.0,1038.0,993.0,974.0,999.0,973.0,936.0,932.0,986.0,939.0,892.0,934.0,900.0,1002.0,872.0,928.0,935.0,912.0,925.0,813.0,888.0,900.0,936.0,925.0,897.0,0.0,0.0009086796276764897,0.0025372749549524842,0.004508352421969342,0.007877230827815218,0.011444962793616176,0.01985581347127896,0.03310357812317355,0.05021884849439151,0.07691841933868337,0.11124190422671709,0.15238284940404978,0.20966222769647735,0.2728824683344634,0.33603074350587914,0.4007185669514317,0.46177497003468426,0.5214709296024318,0.563466498788623,0.5958637546063859,0.6134142241659309,0.6286005626004305,0.6383479968828714,0.6478456940395375,0.651812639276079,0.6536697934503084,0.6560034514570302,0.6603375421676992,0.6605792379300539,0.6587510948775932,0.6558015052311592,0.651933117563713,0.6504286805763035,0.6463337052240279,0.6488659366693528,0.6477422150848994,0.6431998352776109,0.6446153795855905,0.6432198623777481,0.6421071886951666,0.6397432811634434,0.638597310847575,0.6411416360059756,0.6387239389966543,0.6327896818746166,0.6323950915580323,0.6305664204869298,0.6327297838676343,0.6298210650748357,0.6283429752873773
7.0,11.0,24.0,43.0,69.0,102.0,178.0,248.0,335.0,422.0,509.0,703.0,823.0,941.0,972.0,1002.0,1075.0,1066.0,1066.0,1021.0,1072.0,1000.0,948.0,974.0,984.0,964.0,929.0,938.0,967.0,983.0,951.0,905.0,897.0,863.0,838.0,938.0,942.0,872.0,919.0,907.0,915.0,927.0,874.0,940.0,906.0,879.0,929.0,962.0,964.0,893.0,3.0,2.0,6.0,10.0,20.0,29.0,46.0,107.0,150.0,203.0,256.0,313.0,420.0,519.0,632.0,739.0,833.0,869.0,956.0,933.0,996.0,1050.0,979.0,1000.0,970.0,1012.0,985.0,956.0,911.0,975.0,1034.0,985.0,948.0,933.0,901.0,913.0,889.0,918.0,883.0,924.0,895.0,919.0,945.0,892.0,914.0,923.0,873.0,896.0,908.0,975.0,0.0,0.0015896498252223612,0.0037569866999784818,0.008409789464221329,0.016348209194285812,0.02836952211321575,0.04500720713825035,0.07415954278746517,0.1109529847878451,0.1560117619596496,0.20605579503284654,0.2585280004470891,0.3280848661487673,0.3954379937181678,0.45887233295389795,0.5080013123998022,0.5469589734535996,0.582717536091721,0.6083102572387783,0.6275254091532738,0.6384254472581377,0.650947280851674,0.6549613170934427,0.6540341709873837,0.6553479613415598,0.6571719936593521,0.6570517361518117,0.6542035873716641,0.6526384152991461,0.6536905511310314,0.6557841174379411,0.654926284679269,0.6505924748462503,0.6464653693373785,0.6403709486203399,0.6333678295947949,0.6361091900750947,0.6386029041016921,0.6347821973075022,0.6356480923974055,0.6353370191929721,0.6357554898951905,0.6370831921951221,0.6337298120944688,0.6365606598827274,0.6359797960332543,0.6332641634173013,0.6352788665623414,0.6395971513540357,0.643154829593677
