Istar[1],Istar[2],Istar[3],Istar[4],Istar[5],Istar[6],Istar[7],Istar[8],Istar[9],Istar[10],Istar[11],Istar[12],Istar[13],Istar[14],Istar[15],Istar[16],Istar[17],Istar[18],Istar[19],Istar[20],Istar[21],Istar[22],Istar[23],Istar[24],Istar[25],Istar[26],Istar[27],Istar[28],Istar[29],Istar[30],Istar[31],Istar[32],Istar[33],Istar[34],Istar[35],Istar[36],Istar[37],Istar[38],Istar[39],Istar[40],Istar[41],Istar[42],Istar[43],Istar[44],Istar[45],Istar[46],Istar[47],Istar[48],Istar[49],Istar[50],Rstar[1],Rstar[2],Rstar[3],Rstar[4],Rstar[5],Rstar[6],Rstar[7],Rstar[8],Rstar[9],Rstar[10],Rstar[11],Rstar[12],Rstar[13],Rstar[14],Rstar[15],Rstar[16],Rstar[17],Rstar[18],Rstar[19],Rstar[20],Rstar[21],Rstar[22],Rstar[23],Rstar[24],Rstar[25],Rstar[26],Rstar[27],Rstar[28],Rstar[29],Rstar[30],Rstar[31],Rstar[32],Rstar[33],Rstar[34],Rstar[35],Rstar[36],Rstar[37],Rstar[38],Rstar[39],Rstar[40],Rstar[41],Rstar[42],Rstar[43],Rstar[44],Rstar[45],Rstar[46],Rstar[47],Rstar[48],Rstar[49],Rstar[50],alarm[1],alarm[2],alarm[3],alarm[4],alarm[5],alarm[6],alarm[7],alarm[8],alarm[9],alarm[10],alarm[11],alarm[12],alarm[13],alarm[14],alarm[15],alarm[16],alarm[17],alarm[18],alarm[19],alarm[20],alarm[21],alarm[22],alarm[23],alarm[24],alarm[25],alarm[26],alarm[27],alarm[28],alarm[29],alarm[30],alarm[31],alarm[32],alarm[33],alarm[34],alarm[35],alarm[36],alarm[37],alarm[38],alarm[39],alarm[40],alarm[41],alarm[42],alarm[43],alarm[44],alarm[45],alarm[46],alarm[47],alarm[48],alarm[49],alarm[50]
10.0,12.0,24.0,30.0,50.0,79.0,130.0,168.0,274.0,376.0,579.0,771.0,1038.0,1385.0,1747.0,2091.0,2456.0,2759.0,3078.0,3209.0,3411.0,3661.0,3535.0,3914.0,3854.0,4048.0,4021.0,4075.0,4084.0,4195.0,4143.0,4142.0,4107.0,4205.0,4246.0,4117.0,4272.0,4120.0,4259.0,4013.0,4266.0,4015.0,4158.0,4061.0,4035.0,4090.0,3968.0,4120.0,3818.0,4058.0,4.0,2.0,7.0,10.0,19.0,30.0,49.0,63.0,92.0,141.0,206.0,307.0,422.0,608.0,824.0,1107.0,1321.0,1654.0,1989.0,2342.0,2533.0,2873.0,3047.0,3074.0,3427.0,3541.0,3645.0,3754.0,3846.0,3859.0,4057.0,4035.0,4077.0,4103.0,4124.0,4102.0,4214.0,4084.0,4117.0,4242.0,4160.0,4191.0,4096.0,4165.0,4176.0,4193.0,4022.0,4062.0,4026.0,3930.0,0.0,0.0022701579214413625,0.0027235734168231662,0.005439761531515375,0.006795092333233499,0.011299595013531394,0.017795019564949888,0.02911511928117827,0.0374651693761312,0.06038142768068888,0.0819198795003152,0.12333383907511397,0.16079046300989186,0.210244292629571,0.2702044910908493,0.3279299334593382,0.3785655327916174,0.42814418429976675,0.4662950165249956,0.5037246024243731,0.518327512455957,0.540010877778371,0.5655056080508997,0.5528371673763322,0.5898740005685942,0.5842209613888287,0.6022243477482667,0.5997659985735525,0.6046676630877018,0.6054787765186587,0.6153473181189384,0.6107551966407385,0.610666353785778,0.6075441023596952,0.6162242148733301,0.6197987315652342,0.6084387092196568,0.6220483033146433,0.6087066951578243,0.620925178818932,0.5990346981389862,0.621530350427372,0.5992176478719535,0.6120854199333349,0.6034026298336671,0.6010425804610413,0.6060185981119124,0.5948962761001078,0.6087066951578243,0.5807919707963305
4.0,14.0,21.0,27.0,43.0,69.0,123.0,158.0,254.0,333.0,497.0,706.0,1007.0,1275.0,1643.0,1975.0,2349.0,2592.0,2853.0,3111.0,3290.0,3505.0,3594.0,3816.0,3785.0,4014.0,3855.0,4213.0,3931.0,4171.0,4057.0,4220.0,4029.0,4264.0,4089.0,4137.0,4286.0,4062.0,4220.0,4100.0,4210.0,4028.0,4316.0,4012.0,4082.0,4111.0,3890.0,4256.0,3874.0,4125.0,2.0,4.0,9.0,11.0,16.0,17.0,40.0,62.0,86.0,134.0,188.0,265.0,386.0,587.0,778.0,990.0,1346.0,1601.0,1854.0,2131.0,2366.0,2684.0,2868.0,3071.0,3376.0,3415.0,3620.0,3624.0,3826.0,3827.0,3972.0,3960.0,4069.0,3971.0,4102.0,4199.0,4038.0,4173.0,4103.0,4176.0,4119.0,4204.0,4181.0,4113.0,4147.0,4125.0,4110.0,3981.0,4193.0,4074.0,0.0,0.0009086796276764897,0.0031767837650192865,0.004761405783653472,0.006117656944373495,0.009725337429774328,0.015560031332089719,0.027569104669136313,0.03527474500083427,0.05609957966362911,0.07290053552384212,0.10683382033006883,0.1482917263304343,0.20465472196691792,0.25170471626669766,0.31182780084151807,0.3619301211688756,0.41403290499803247,0.445592716042402,0.4776073702262389,0.5074442122125306,0.5271419251045478,0.5497670688244403,0.5588143559279817,0.580600647933623,0.5776240025714733,0.5991261833963074,0.5843158114455977,0.6169242990485687,0.5914617369888566,0.6132346185109275,0.6030404520892114,0.6175358296080324,0.6004959710840332,0.6213575424709985,0.6059286789420641,0.610221836590318,0.6232541172107209,0.6034931228533271,0.6175358296080324,0.6069166670602268,0.6166619166086521,0.600404797058982,0.6258251222387747,0.598943192095269,0.6052986723950299,0.6079021890351756,0.5876220263162768,0.6206655247279529,0.5861138749798365
6.0,16.0,20.0,39.0,39.0,52.0,88.0,128.0,186.0,269.0,407.0,547.0,732.0,998.0,1375.0,1647.0,2087.0,2379.0,2696.0,2993.0,3143.0,3346.0,3497.0,3699.0,3743.0,3776.0,3938.0,3985.0,4020.0,4006.0,4188.0,4109.0,4117.0,4214.0,4180.0,4221.0,4245.0,4077.0,4162.0,4259.0,4129.0,4208.0,3993.0,4295.0,3983.0,4167.0,4068.0,3972.0,4126.0,3915.0,2.0,3.0,7.0,13.0,24.0,21.0,23.0,56.0,75.0,105.0,157.0,207.0,318.0,421.0,583.0,838.0,1043.0,1350.0,1659.0,1829.0,2231.0,2469.0,2720.0,2998.0,3160.0,3252.0,3522.0,3607.0,3728.0,3755.0,3881.0,3934.0,3844.0,4097.0,4080.0,4139.0,4173.0,4161.0,4147.0,4168.0,4201.0,4167.0,4125.0,4046.0,4205.0,4183.0,4060.0,4122.0,4008.0,4207.0,0.0,0.0013627111193802444,0.0036297890584885417,0.004535184850572693,0.008824641462768179,0.008824641462768179,0.011748925076165984,0.019802189318300245,0.02867365069615757,0.04139546280827444,0.059312782095804706,0.0883679541884621,0.11693122651531829,0.1533133073530214,0.2030245785107071,0.2685416814171643,0.31245415753763095,0.3779991517901481,0.4180239486902477,0.45857716045967867,0.4940145011887247,0.511024596575626,0.5331417641995184,0.5489448376079175,0.5692556430194013,0.5735575484697923,0.5767558821919748,0.5921137307253819,0.5964646544547493,0.5996746586893564,0.5983937190554818,0.6147323037520604,0.6077231863772172,0.6084387092196568,0.6170117201219805,0.614028231321484,0.6176231117385548,0.6197119438670156,0.6048480538763046,0.6124393811141653,0.620925178818932,0.6095095578433269,0.6164868955873299,0.5972006215913348,0.6240272599732725,0.5962804535807451,0.6128813804307736,0.6040356494310748,0.5952658514124021,0.6092421193458204
7.0,11.0,18.0,30.0,43.0,66.0,109.0,156.0,212.0,326.0,448.0,706.0,917.0,1261.0,1571.0,1804.0,2278.0,2542.0,2836.0,3002.0,3238.0,3408.0,3641.0,3697.0,3912.0,3859.0,4135.0,3766.0,4249.0,4046.0,4189.0,4131.0,4152.0,4141.0,4234.0,4061.0,4284.0,4097.0,4227.0,4128.0,4141.0,4139.0,4131.0,4072.0,4217.0,4033.0,4024.0,4027.0,3971.0,4051.0,2.0,3.0,7.0,8.0,17.0,21.0,33.0,56.0,83.0,131.0,161.0,255.0,386.0,536.0,701.0,980.0,1216.0,1552.0,1769.0,2080.0,2421.0,2593.0,2763.0,3062.0,3246.0,3421.0,3603.0,3688.0,3562.0,4022.0,3903.0,3957.0,4090.0,4120.0,3973.0,4092.0,4081.0,4190.0,4251.0,4228.0,4135.0,4151.0,4031.0,4158.0,4034.0,4135.0,4139.0,4096.0,4097.0,4093.0,0.0,0.0015896498252223612,0.0024968913183045505,0.004082589389547753,0.006795092333233499,0.009725337429774328,0.01488854804868589,0.02446971861067304,0.03483606495607772,0.04704436192611838,0.07142394377056327,0.0968268515185382,0.1482917263304343,0.18820278475857344,0.24931695234453888,0.3004557363060383,0.33659543108454937,0.4044785443330178,0.4392403018937331,0.4755793511312171,0.4950515190391188,0.5215019320906723,0.5396960681788459,0.5635188680693884,0.5690590785641606,0.5896868046207248,0.5846949962954561,0.6100438882638606,0.5757892203991423,0.6200589763626363,0.6020427645004167,0.6148202228500748,0.6096877489269692,0.6115538746005551,0.6105774907421974,0.6187559764435134,0.6034026298336671,0.6230820928643835,0.6066474605896801,0.6181463882270326,0.609420431931676,0.6105774907421974,0.6103997040709142,0.6096877489269692,0.6043969231662873,0.6172738641854294,0.6008604601181253,0.6000398937520506,0.6003136023179376,0.5951734890662497
10.0,8.0,21.0,26.0,53.0,63.0,85.0,121.0,195.0,269.0,409.0,584.0,797.0,1142.0,1350.0,1846.0,2053.0,2440.0,2656.0,3020.0,3203.0,3361.0,3514.0,3625.0,3846.0,3888.0,4053.0,4090.0,4035.0,4224.0,4116.0,4276.0,4060.0,4239.0,4177.0,4224.0,4168.0,4162.0,4357.0,4082.0,4201.0,4138.0,4210.0,4026.0,4099.0,4035.0,4118.0,4039.0,4022.0,4033.0,1.0,4.0,6.0,9.0,20.0,22.0,35.0,45.0,69.0,98.0,150.0,242.0,314.0,468.0,663.0,850.0,1151.0,1343.0,1660.0,1973.0,2261.0,2525.0,2696.0,2963.0,3180.0,3334.0,3520.0,3647.0,3852.0,3750.0,3928.0,4031.0,4067.0,4071.0,4112.0,4135.0,4186.0,4072.0,4222.0,4148.0,4298.0,4291.0,4158.0,4175.0,4177.0,4124.0,4016.0,4089.0,4100.0,3982.0,0.0,0.0022701579214413625,0.001816537186474343,0.004761405783653472,0.005891742935877353,0.011973513861667229,0.014216608765371563,0.019133586888350984,0.02712693619604134,0.04335461367417992,0.059312782095804706,0.0887824072869321,0.12433006378226363,0.1657386737302584,0.22871225731310663,0.2643681363691883,0.3429092697405055,0.3731641163654672,0.4260558014923974,0.4536193663966923,0.49711921092852274,0.5176681228521864,0.5347359535636931,0.5506902953515622,0.5619229661667877,0.5834613848165384,0.5874338070241033,0.6026779450560522,0.6060185981119124,0.6010425804610413,0.6178848391618813,0.6083493399734925,0.6223932131095948,0.6033121162520765,0.6191908033248316,0.6137638740234405,0.6178848391618813,0.6129697200516087,0.6124393811141653,0.6293106020682053,0.6052986723950299,0.6158736952591479,0.6103107804340642,0.6166619166086521,0.6002223868562243,0.6068269519575278,0.6010425804610413,0.6085280581626975,0.601406572985764,0.5998573177089302
10.0,9.0,12.0,24.0,38.0,69.0,111.0,180.0,237.0,352.0,531.0,783.0,1041.0,1309.0,1713.0,1982.0,2356.0,2767.0,2925.0,3171.0,3383.0,3593.0,3599.0,3779.0,3889.0,3954.0,3961.0,4113.0,4114.0,4085.0,4002.0,4208.0,4149.0,4228.0,4091.0,4252.0,4126.0,4210.0,4035.0,4302.0,3987.0,4155.0,4048.0,4256.0,3955.0,4078.0,4036.0,4067.0,3932.0,4107.0,4.0,5.0,2.0,6.0,10.0,24.0,30.0,62.0,90.0,119.0,160.0,329.0,436.0,590.0,807.0,1049.0,1360.0,1570.0,1962.0,2213.0,2459.0,2757.0,2969.0,3136.0,3382.0,3474.0,3628.0,3722.0,3845.0,3864.0,3921.0,4038.0,4005.0,4029.0,4072.0,4077.0,4182.0,4183.0,4173.0,4099.0,4184.0,4136.0,4172.0,3992.0,4163.0,4088.0,4215.0,4070.0,4080.0,4013.0,0.0,0.0022701579214413625,0.002043373214701494,0.0027235734168231662,0.005439761531515375,0.00859934006025509,0.015560031332089719,0.02491308946289461,0.04008714354748388,0.05244473847135456,0.07689665405086088,0.11371248372569331,0.1630778729958272,0.210783138842216,0.25747213755968623,0.322707478279019,0.3629464344698099,0.4149665789518404,0.46726719127728145,0.4861104178909862,0.5141361704766431,0.5370642992462822,0.5587137133681584,0.559317226047211,0.5770454528514773,0.5875279273589871,0.5936001146331045,0.5942487106580496,0.6080811103703894,0.6081705405534485,0.6055687978953108,0.5980269873719182,0.6164868955873299,0.6112878300650975,0.6182335316345202,0.6061084968542578,0.6203190438077799,0.6092421193458204,0.6166619166086521,0.6010425804610413,0.6246275009676557,0.5966487716549695,0.6118197378489689,0.6022243477482667,0.6206655247279529,0.593692834366871,0.6049382185368193,0.6011336096053457,0.6039452796853864,0.5915549424393866
5.0,8.0,15.0,31.0,33.0,52.0,93.0,141.0,210.0,296.0,503.0,637.0,913.0,1236.0,1575.0,1841.0,2228.0,2508.0,2849.0,2989.0,3303.0,3322.0,3566.0,3788.0,3816.0,3875.0,3953.0,4157.0,4078.0,4188.0,4154.0,4218.0,4147.0,4197.0,4220.0,4137.0,4204.0,4200.0,4149.0,4220.0,4018.0,4184.0,4096.0,4007.0,4158.0,3942.0,4175.0,3854.0,4093.0,3817.0,5.0,1.0,4.0,8.0,16.0,18.0,22.0,48.0,72.0,116.0,153.0,273.0,377.0,501.0,731.0,954.0,1243.0,1471.0,1823.0,2100.0,2327.0,2577.0,2834.0,2963.0,3248.0,3380.0,3493.0,3631.0,3823.0,3804.0,3950.0,4065.0,4070.0,4087.0,4125.0,4253.0,4034.0,4286.0,4224.0,4203.0,4145.0,4214.0,4044.0,4063.0,4109.0,4121.0,4114.0,4089.0,4062.0,4101.0,0.0,0.0011357210574052257,0.001816537186474343,0.003403312037823958,0.007020801955697209,0.0074720680088916636,0.011748925076165984,0.02091551852987339,0.031539628104976014,0.04661101035374726,0.06506912751850524,0.10805155261679023,0.13482099994349672,0.18746377523399826,0.2450342053871094,0.3010923976695502,0.34216077066793116,0.3976572025258409,0.4348793197974682,0.477130892850821,0.4935529240183857,0.5285415509964637,0.5305797419894197,0.5559877072085899,0.5779129818993891,0.580600647933623,0.5862082951090649,0.5935073738337144,0.6119968793602932,0.6049382185368193,0.6147323037520604,0.6117311369015714,0.617361205835963,0.6111103662656783,0.6155228569096222,0.6175358296080324,0.610221836590318,0.6161366148354502,0.6157860155644697,0.6112878300650975,0.6175358296080324,0.5994919166557647,0.6143804275185138,0.6065576843152967,0.5984853499162945,0.6120854199333349,0.5924858333457647,0.6135875356852547,0.5842209613888287,0.6062882330749686
7.0,14.0,22.0,24.0,46.0,60.0,98.0,144.0,217.0,331.0,472.0,658.0,940.0,1226.0,1551.0,1950.0,2265.0,2632.0,2820.0,3133.0,3349.0,3448.0,3602.0,3702.0,3802.0,3991.0,3938.0,4132.0,3956.0,4145.0,3989.0,4248.0,4079.0,4082.0,4181.0,4077.0,4184.0,4062.0,4257.0,4024.0,4250.0,3902.0,4269.0,4025.0,4108.0,4000.0,4122.0,3999.0,4006.0,4081.0,2.0,4.0,14.0,11.0,11.0,24.0,31.0,55.0,72.0,108.0,182.0,267.0,353.0,530.0,722.0,952.0,1209.0,1558.0,1828.0,2169.0,2401.0,2602.0,2900.0,3111.0,3274.0,3400.0,3605.0,3720.0,3769.0,3872.0,3886.0,4093.0,4147.0,3940.0,3989.0,4080.0,4091.0,4114.0,3984.0,4204.0,4273.0,4075.0,4072.0,4024.0,4170.0,4030.0,4032.0,4060.0,4050.0,4023.0,0.0,0.0015896498252223612,0.0031767837650192865,0.0049875755337975836,0.005439761531515375,0.010400324601219757,0.013544213173824926,0.022027588756495353,0.03219981098306024,0.04812688307573887,0.07247889086924697,0.1017420941228373,0.13894308777458864,0.19243912174135513,0.24331430314288827,0.29726375798284344,0.35828723568016285,0.40271242964817433,0.4506230216589455,0.4736634675270688,0.5099085188002255,0.5334610365419403,0.5438759496641741,0.559618674160714,0.5695503223442266,0.5792589515475028,0.5970167551854467,0.5921137307253819,0.6097768141081288,0.5937855330397672,0.6109328218030528,0.5968328052192675,0.6199722478085942,0.605028362714318,0.6052986723950299,0.6141163103831566,0.6048480538763046,0.6143804275185138,0.6034931228533271,0.620752095760297,0.6000398937520506,0.6201456852108813,0.5887495481108282,0.6217894151468082,0.6001311506691547,0.6076336545407011,0.59784349651999,0.6088852509955778,0.5977517198249861,0.5983937190554818
5.0,10.0,15.0,18.0,30.0,42.0,64.0,95.0,154.0,240.0,349.0,513.0,682.0,915.0,1179.0,1575.0,1932.0,2209.0,2545.0,2803.0,2993.0,3325.0,3342.0,3731.0,3657.0,3950.0,3832.0,4113.0,3959.0,4146.0,4132.0,4214.0,4152.0,4210.0,4141.0,4204.0,4201.0,4104.0,4140.0,4184.0,4051.0,4171.0,4015.0,4037.0,4019.0,4081.0,4177.0,3925.0,4160.0,3874.0,3.0,5.0,2.0,9.0,18.0,12.0,24.0,27.0,56.0,81.0,123.0,194.0,290.0,375.0,497.0,760.0,959.0,1209.0,1547.0,1843.0,2043.0,2312.0,2592.0,2903.0,2963.0,3214.0,3463.0,3498.0,3723.0,3755.0,3869.0,3977.0,3962.0,4098.0,4159.0,4218.0,4153.0,4161.0,4141.0,4234.0,4128.0,4140.0,4116.0,4067.0,4037.0,3968.0,4130.0,4025.0,4035.0,4159.0,0.0,0.0011357210574052257,0.0022701579214413625,0.003403312037823958,0.004082589389547753,0.006795092333233499,0.009500239861509607,0.014440639212142892,0.02136049761929082,0.03439718631272126,0.05309073269622455,0.07626682996420886,0.11007743431617578,0.1436301077346488,0.1878333636817069,0.23517836478683674,0.3010923976695502,0.35565154371553354,0.3950447446058568,0.4396234820257231,0.47162020526654125,0.4940145011887247,0.5309007587053036,0.5327157293381706,0.5723885617531081,0.5651089816357558,0.5932290249941579,0.5821287999914198,0.6080811103703894,0.5940635027409495,0.6110216041195461,0.6097768141081288,0.6170117201219805,0.6115538746005551,0.6166619166086521,0.6105774907421974,0.6161366148354502,0.6158736952591479,0.6072753237037203,0.6104886075054388,0.6143804275185138,0.6024965679630798,0.6132346185109275,0.5992176478719535,0.6012246180711083,0.5995832980516587,0.6052085896387872,0.6137638740234405,0.5909020594327652,0.6122624407369219
12.0,16.0,32.0,39.0,56.0,93.0,149.0,193.0,275.0,408.0,568.0,802.0,1090.0,1482.0,1669.0,2136.0,2466.0,2689.0,3007.0,3190.0,3421.0,3514.0,3727.0,3761.0,3885.0,3968.0,3986.0,4134.0,4033.0,4251.0,4128.0,4169.0,4121.0,4222.0,4196.0,4095.0,4187.0,4128.0,4193.0,4101.0,4142.0,4048.0,3988.0,4156.0,3935.0,4075.0,4023.0,3952.0,3977.0,4040.0,1.0,5.0,10.0,17.0,22.0,29.0,50.0,76.0,116.0,143.0,244.0,310.0,432.0,623.0,856.0,1144.0,1352.0,1749.0,1908.0,2293.0,2538.0,2752.0,3049.0,3113.0,3294.0,3565.0,3688.0,3691.0,3926.0,3975.0,3891.0,4051.0,4082.0,4079.0,4133.0,4170.0,4157.0,4032.0,4186.0,4087.0,4220.0,4094.0,4155.0,4106.0,4078.0,4059.0,4057.0,3954.0,4036.0,4106.0,0.0,0.0027235734168231662,0.0036297890584885417,0.00724646051042388,0.008824641462768179,0.012646975372439084,0.02091551852987339,0.03329912024806625,0.042919591606783825,0.06059501171320669,0.08857520419211318,0.12113817101631097,0.16668691720847806,0.219532657975546,0.28613971206649813,0.31588898745552596,0.3849020468161871,0.42944557992259114,0.4577127912444956,0.49562672545488917,0.5162363607109848,0.5410586957930853,0.5506902953515622,0.5719981909750653,0.5753050655425536,0.587151317705604,0.5948962761001078,0.5965567235117207,0.6099548837719935,0.6008604601181253,0.6202323743577769,0.609420431931676,0.6130580396022246,0.6087959832190818,0.6177103740380385,0.6154350974860319,0.6064678876411255,0.6146443646744268,0.609420431931676,0.6151716995362015,0.6070063617815874,0.610666353785778,0.6022243477482667,0.5967407988892457,0.6119083186670284,0.5918344317859185,0.6046676630877018,0.5999486161002026,0.5934146119639356,0.5957273485374435
