day,mean_Istar
1.0,9.05
2.0,13.05
3.0,19.65
4.0,29.2
5.0,43.35
6.0,66.4
7.0,94.45
8.0,144.7
9.0,201.3
10.0,295.0
11.0,404.65
12.0,539.45
13.0,685.65
14.0,830.5
15.0,960.5
16.0,1052.15
17.0,1118.0
18.0,1154.95
19.0,1157.5
20.0,1154.75
21.0,1117.25
22.0,1087.85
23.0,1045.9
24.0,1008.4
25.0,977.45
26.0,941.45
27.0,917.4
28.0,886.6
29.0,861.95
30.0,829.3
31.0,812.55
32.0,791.0
33.0,774.0
34.0,750.2
35.0,725.4
36.0,713.65
37.0,690.8
38.0,676.8
39.0,662.9
40.0,653.85
41.0,640.35
42.0,626.5
43.0,626.8
44.0,610.75
45.0,603.45
46.0,602.75
47.0,595.45
48.0,588.2
49.0,581.3
50.0,579.9
