day,mean_Istar
1.0,7.15
2.0,12.3
3.0,19.45
4.0,28.5
5.0,42.75
6.0,64.75
7.0,99.9
8.0,149.05
9.0,223.3
10.0,326.45
11.0,499.75
12.0,745.4
13.0,1089.05
14.0,1588.9
15.0,2252.65
16.0,3154.8
17.0,4236.3
18.0,5401.0
19.0,6582.55
20.0,7514.65
21.0,8057.25
22.0,8159.35
23.0,7848.3
24.0,7310.7
25.0,6539.65
26.0,5802.4
27.0,5077.45
28.0,4422.85
29.0,3870.9
30.0,3400.75
31.0,3063.95
32.0,2781.45
33.0,2633.15
34.0,2560.9
35.0,2560.4
36.0,2615.55
37.0,2758.55
38.0,2956.8
39.0,3140.2
40.0,3413.95
41.0,3706.6
42.0,3970.55
43.0,4220.55
44.0,4431.9
45.0,4560.8
46.0,4662.8
47.0,4680.0
48.0,4622.8
49.0,4542.5
50.0,4378.65
