day,mean_Istar
1.0,8.15
2.0,12.05
3.0,17.55
4.0,26.15
5.0,40.4
6.0,59.45
7.0,92.3
8.0,129.05
9.0,186.9
10.0,265.9
11.0,366.15
12.0,483.4
13.0,619.4
14.0,737.85
15.0,847.6
16.0,944.25
17.0,1007.4
18.0,1025.2
19.0,1058.25
20.0,1041.95
21.0,1035.25
22.0,1015.8
23.0,1007.3
24.0,982.2
25.0,955.9
26.0,959.05
27.0,940.6
28.0,934.45
29.0,932.15
30.0,920.7
31.0,919.35
32.0,923.05
33.0,925.7
34.0,913.6
35.0,916.4
36.0,906.95
37.0,917.0
38.0,914.0
39.0,920.2
40.0,910.1
41.0,914.95
42.0,919.9
43.0,910.2
44.0,913.35
45.0,906.95
46.0,907.35
47.0,918.5
48.0,902.45
49.0,919.15
50.0,912.9
