day,mean_Istar
1.0,7.65
2.0,11.0
3.0,18.5
4.0,25.6
5.0,39.8
6.0,60.15
7.0,96.75
8.0,141.05
9.0,210.8
10.0,303.35
11.0,440.4
12.0,624.5
13.0,860.4
14.0,1141.4
15.0,1461.65
16.0,1792.65
17.0,2146.05
18.0,2439.45
19.0,2735.25
20.0,2987.95
21.0,3200.15
22.0,3389.65
23.0,3516.4
24.0,3706.25
25.0,3771.4
26.0,3899.25
27.0,3939.3
28.0,4026.0
29.0,4043.8
30.0,4093.15
31.0,4104.05
32.0,4172.5
33.0,4124.6
34.0,4190.3
35.0,4152.55
36.0,4172.5
37.0,4175.4
38.0,4148.2
39.0,4170.65
40.0,4149.25
41.0,4135.45
42.0,4115.55
43.0,4120.8
44.0,4101.9
45.0,4054.65
46.0,4082.95
47.0,4047.05
48.0,4027.8
49.0,4008.35
50.0,4027.35
