Istar[1],Istar[2],Istar[3],Istar[4],Istar[5],Istar[6],Istar[7],Istar[8],Istar[9],Istar[10],Istar[11],Istar[12],Istar[13],Istar[14],Istar[15],Istar[16],Istar[17],Istar[18],Istar[19],Istar[20],Istar[21],Istar[22],Istar[23],Istar[24],Istar[25],Istar[26],Istar[27],Istar[28],Istar[29],Istar[30],Istar[31],Istar[32],Istar[33],Istar[34],Istar[35],Istar[36],Istar[37],Istar[38],Istar[39],Istar[40],Istar[41],Istar[42],Istar[43],Istar[44],Istar[45],Istar[46],Istar[47],Istar[48],Istar[49],Istar[50],Rstar[1],Rstar[2],Rstar[3],Rstar[4],Rstar[5],Rstar[6],Rstar[7],Rstar[8],Rstar[9],Rstar[10],Rstar[11],Rstar[12],Rstar[13],Rstar[14],Rstar[15],Rstar[16],Rstar[17],Rstar[18],Rstar[19],Rstar[20],Rstar[21],Rstar[22],Rstar[23],Rstar[24],Rstar[25],Rstar[26],Rstar[27],Rstar[28],Rstar[29],Rstar[30],Rstar[31],Rstar[32],Rstar[33],Rstar[34],Rstar[35],Rstar[36],Rstar[37],Rstar[38],Rstar[39],Rstar[40],Rstar[41],Rstar[42],Rstar[43],Rstar[44],Rstar[45],Rstar[46],Rstar[47],Rstar[48],Rstar[49],Rstar[50],alarm[1],alarm[2],alarm[3],alarm[4],alarm[5],alarm[6],alarm[7],alarm[8],alarm[9],alarm[10],alarm[11],alarm[12],alarm[13],alarm[14],alarm[15],alarm[16],alarm[17],alarm[18],alarm[19],alarm[20],alarm[21],alarm[22],alarm[23],alarm[24],alarm[25],alarm[26],alarm[27],alarm[28],alarm[29],alarm[30],alarm[31],alarm[32],alarm[33],alarm[34],alarm[35],alarm[36],alarm[37],alarm[38],alarm[39],alarm[40],alarm[41],alarm[42],alarm[43],alarm[44],alarm[45],alarm[46],alarm[47],alarm[48],alarm[49],alarm[50]
12.0,6.0,13.0,18.0,23.0,42.0,53.0,99.0,129.0,198.0,283.0,369.0,507.0,591.0,785.0,887.0,1014.0,1094.0,1064.0,1086.0,1082.0,1077.0,1025.0,1002.0,970.0,943.0,884.0,823.0,797.0,733.0,725.0,676.0,624.0,611.0,585.0,552.0,568.0,542.0,510.0,473.0,458.0,484.0,455.0,433.0,408.0,412.0,404.0,404.0,394.0,327.0,7.0,5.0,4.0,9.0,6.0,19.0,20.0,33.0,39.0,72.0,108.0,164.0,227.0,296.0,376.0,506.0,622.0,678.0,864.0,910.0,955.0,943.0,978.0,992.0,991.0,947.0,990.0,1025.0,908.0,870.0,823.0,841.0,797.0,738.0,645.0,665.0,690.0,626.0,597.0,567.0,520.0,490.0,518.0,521.0,485.0,474.0,431.0,438.0,432.0,442.0,0.0,0.0027235734168231662,0.00312107645840376,0.005187283898290818,0.007790964368222686,0.010849274177794688,0.017428170461055492,0.02454632589757144,0.040001056915692224,0.05730929669348539,0.08459178030931391,0.12125325842052814,0.16399304019692296,0.21987909785559878,0.27342687598920623,0.3425891228625947,0.40482883958390914,0.4659282290335047,0.5193087815888628,0.5564329587569721,0.5894140382274431,0.6164747955938925,0.639378467107262,0.6554915729825588,0.6693943817286674,0.6806048480182749,0.6900717415219517,0.6958084903761919,0.6987675987728532,0.7018893447885795,0.7020386897899161,0.7038110401887028,0.7034129744487108,0.7012735951737366,0.7003550048999572,0.6990014879764281,0.6967647613386448,0.6972028585042145,0.6962821436639861,0.6941534846703983,0.6907658436019628,0.687924329997512,0.6881579590910989,0.6863796710262225,0.6839684456606578,0.6808075856089626,0.6791572274353845,0.6774816255786934,0.6764230849983796,0.6750230156796256
7.0,13.0,17.0,18.0,25.0,39.0,75.0,122.0,178.0,218.0,307.0,420.0,534.0,717.0,858.0,976.0,1103.0,1126.0,1118.0,1082.0,1083.0,1077.0,974.0,1006.0,875.0,811.0,774.0,790.0,729.0,686.0,659.0,626.0,569.0,578.0,554.0,569.0,500.0,505.0,460.0,448.0,464.0,456.0,430.0,439.0,390.0,373.0,407.0,358.0,393.0,388.0,3.0,5.0,8.0,11.0,10.0,9.0,20.0,42.0,65.0,104.0,121.0,206.0,248.0,321.0,433.0,539.0,650.0,851.0,893.0,920.0,916.0,1021.0,1077.0,1014.0,1044.0,911.0,960.0,892.0,827.0,847.0,823.0,760.0,668.0,691.0,668.0,616.0,577.0,566.0,568.0,546.0,499.0,494.0,505.0,455.0,435.0,463.0,417.0,381.0,373.0,418.0,0.0,0.0015896498252223612,0.003974668294814854,0.006547626622657399,0.008692722304979195,0.011997637543473938,0.017625781083705383,0.029700999184197663,0.04837654841133676,0.07349000137940154,0.09977893170414942,0.1371327941051368,0.18530663170137085,0.23968726188444223,0.30825031159840677,0.3763413874076721,0.440041993373941,0.5009761709724911,0.5477483204045275,0.5835767538664796,0.6101248267959167,0.6337861861606571,0.6541819809007231,0.6646680935994238,0.6789730497074438,0.6827982000215591,0.6848822517207855,0.6868754029595163,0.6919466007973913,0.6931682085114275,0.6931962197156727,0.6931946380702911,0.6924292296611401,0.6892547910439404,0.6889668389481463,0.6878545594537036,0.6890095269424488,0.6855289572937449,0.6844331094530949,0.6809044588362623,0.6781811434892939,0.6778105243294729,0.6771324878620006,0.6750507365567011,0.6746633502438177,0.670924402003206,0.6674482356182952,0.6677612117753657,0.6641042928239169,0.6645300948528892
5.0,15.0,24.0,31.0,34.0,63.0,94.0,152.0,241.0,336.0,452.0,587.0,758.0,866.0,1043.0,1101.0,1131.0,1175.0,1093.0,1106.0,1041.0,1025.0,995.0,832.0,823.0,796.0,744.0,730.0,676.0,637.0,657.0,610.0,592.0,535.0,569.0,571.0,534.0,502.0,455.0,463.0,487.0,425.0,405.0,408.0,398.0,391.0,362.0,374.0,344.0,351.0,2.0,2.0,11.0,14.0,12.0,17.0,30.0,45.0,83.0,144.0,184.0,291.0,359.0,440.0,558.0,728.0,766.0,902.0,1004.0,985.0,1113.0,1067.0,1026.0,999.0,995.0,930.0,910.0,851.0,765.0,741.0,730.0,723.0,706.0,632.0,623.0,619.0,624.0,546.0,569.0,541.0,524.0,516.0,480.0,481.0,459.0,386.0,441.0,407.0,383.0,390.0,0.0,0.0011357210574052257,0.004134847937854569,0.008192587284801656,0.012670228222485092,0.016705159281946935,0.026367211788696165,0.040020784168585566,0.062350753584693996,0.09667818117377158,0.1396106299120632,0.19182478591216157,0.2523562057170927,0.3222784742893493,0.3865366722517143,0.4556432704664758,0.5110369957889446,0.5558443752896642,0.5952577883171697,0.6196046463139846,0.6431096421756475,0.6587344768434462,0.6730449658481172,0.6847291362902319,0.6849435811027351,0.6885666451902202,0.6919184302722278,0.6930297920853005,0.6951041662119788,0.6946324667138559,0.6934025314674932,0.695457824227355,0.6946818312676873,0.694183178814781,0.6908779002277495,0.6920342171087829,0.6934890950360988,0.6925805582344471,0.6905548969609409,0.686535453941028,0.6849484178485992,0.685824811641452,0.6821372891820353,0.6786800280512605,0.6767508989768867,0.6747258119552636,0.6728954600428584,0.6695188756946795,0.6682178800709355,0.6649320585491523
10.0,21.0,31.0,55.0,69.0,109.0,150.0,220.0,318.0,400.0,532.0,740.0,928.0,1013.0,1094.0,1133.0,1136.0,1090.0,1067.0,1031.0,1047.0,969.0,887.0,883.0,768.0,821.0,805.0,750.0,705.0,601.0,587.0,605.0,590.0,544.0,534.0,559.0,472.0,470.0,456.0,443.0,402.0,437.0,395.0,384.0,390.0,377.0,390.0,365.0,331.0,321.0,3.0,3.0,10.0,18.0,25.0,36.0,61.0,71.0,127.0,170.0,258.0,309.0,450.0,591.0,683.0,808.0,910.0,983.0,1002.0,1026.0,993.0,1019.0,1017.0,952.0,960.0,898.0,888.0,935.0,806.0,842.0,677.0,699.0,668.0,624.0,615.0,580.0,590.0,578.0,546.0,479.0,506.0,452.0,455.0,440.0,436.0,438.0,382.0,389.0,370.0,390.0,0.0,0.0022701579214413625,0.0062219586838372365,0.011204044491558318,0.020184790915112383,0.029656045907088036,0.04550741909931788,0.06568666745004137,0.095004129773536,0.13557563754518576,0.17988718744255705,0.2355523183495256,0.30875867587063155,0.38585498773794646,0.44991310808286167,0.5060838421065266,0.5522504778764359,0.5886499837880672,0.6145761083443664,0.6358935096148717,0.6525649872515039,0.669789189805202,0.6796836112313819,0.6847164169476345,0.6916404323977505,0.6912408318475892,0.6977088851036374,0.7029238028090572,0.7048568765545418,0.7052841505971466,0.7003840983069096,0.6977936986986093,0.6982862148864037,0.6983308803026136,0.6960432477861676,0.6946909653193024,0.6961458612620477,0.6915339702347341,0.6890829871317197,0.6867421360671582,0.6844934457735137,0.6802088304729454,0.6800934715343587,0.6768365590339718,0.6740270476558883,0.6725970053445482,0.6705894528772118,0.6702341613412741,0.6680536349583521,0.6640950680140942
7.0,8.0,15.0,24.0,40.0,59.0,78.0,128.0,171.0,261.0,358.0,491.0,641.0,850.0,967.0,1056.0,1134.0,1184.0,1087.0,1117.0,1085.0,999.0,937.0,948.0,871.0,836.0,830.0,746.0,688.0,723.0,691.0,657.0,584.0,602.0,562.0,541.0,562.0,521.0,466.0,407.0,502.0,449.0,438.0,403.0,415.0,416.0,392.0,408.0,387.0,387.0,2.0,3.0,6.0,7.0,9.0,28.0,31.0,48.0,62.0,99.0,147.0,185.0,284.0,406.0,503.0,636.0,761.0,856.0,920.0,950.0,1031.0,1065.0,1025.0,1006.0,1030.0,989.0,922.0,872.0,871.0,773.0,735.0,801.0,730.0,725.0,657.0,609.0,628.0,638.0,577.0,541.0,487.0,477.0,505.0,498.0,454.0,454.0,438.0,418.0,430.0,390.0,0.0,0.0015896498252223612,0.00284216096483203,0.005365840443221748,0.009189418373185876,0.015536703335889412,0.024311982155819423,0.034890784800229224,0.053613304279310325,0.07605118327409599,0.11092832575057832,0.15455585017050888,0.2100454014987101,0.2744606144373416,0.3514622981398957,0.42002092758260023,0.47993611390591884,0.5327461948152908,0.5775493957286613,0.6037923144040087,0.6304689250520958,0.6507863163332329,0.6628426305761475,0.6712953890254525,0.682068880870984,0.6872085324050066,0.6916748870234222,0.6971478312436888,0.69750338510599,0.6962360037306677,0.6998001309455542,0.7014063416143255,0.7017526790915745,0.6984506049603034,0.6988134883824553,0.6971160235101543,0.695442391056075,0.6965072832400561,0.6949125030152732,0.6907197863450498,0.6842806270472224,0.6871222755184279,0.684996482901031,0.6832199438684461,0.6797278217437583,0.6784920395131058,0.6777375926288356,0.6755329311703298,0.6754055039089857,0.6737768581071466
13.0,15.0,17.0,33.0,52.0,66.0,93.0,130.0,185.0,258.0,369.0,516.0,661.0,834.0,950.0,1094.0,1095.0,1150.0,1123.0,1165.0,1017.0,1002.0,893.0,868.0,836.0,787.0,739.0,669.0,695.0,651.0,629.0,607.0,568.0,565.0,523.0,548.0,508.0,524.0,474.0,454.0,456.0,460.0,402.0,401.0,442.0,412.0,399.0,374.0,393.0,387.0,3.0,2.0,9.0,13.0,21.0,32.0,34.0,60.0,69.0,112.0,134.0,212.0,293.0,395.0,542.0,604.0,761.0,897.0,961.0,1052.0,1051.0,986.0,1084.0,987.0,938.0,876.0,886.0,827.0,780.0,767.0,727.0,691.0,718.0,606.0,616.0,584.0,609.0,575.0,534.0,543.0,536.0,465.0,497.0,421.0,442.0,462.0,442.0,436.0,419.0,422.0,0.0,0.0029502042285523,0.005304193548166025,0.007517022995297329,0.012853576948358092,0.02087365079682091,0.02974662189205557,0.042329192298415474,0.05957368881614589,0.08378385549573475,0.11618373558179851,0.16107352570652456,0.2194859273177009,0.28440498540917014,0.3561126493878851,0.4218048253178355,0.4864662844226829,0.5331250859481879,0.575384226772996,0.6062866220276435,0.6362021197144487,0.6492821822286239,0.6628412124955045,0.6682765503542767,0.6745324072316861,0.6798462836524761,0.6829186190836491,0.6843066674288607,0.6826204217766667,0.6854885869270555,0.6857384313460511,0.6859552079505127,0.6859003317261426,0.6842851896936508,0.684107629981142,0.6818015040433224,0.6829432034984112,0.6813669011941419,0.6822463663791872,0.679720632191833,0.6772583076303075,0.6761977237440868,0.6760669018008865,0.6719508144601691,0.6695443431638122,0.6711111950939002,0.6698840341053509,0.668416937379634,0.665766245224531,0.6656339586260118
7.0,7.0,13.0,17.0,24.0,40.0,52.0,74.0,103.0,147.0,221.0,299.0,426.0,532.0,708.0,824.0,966.0,947.0,1099.0,1087.0,1094.0,1099.0,1088.0,972.0,937.0,913.0,848.0,798.0,828.0,764.0,709.0,715.0,698.0,659.0,661.0,583.0,516.0,549.0,530.0,496.0,483.0,447.0,437.0,415.0,433.0,434.0,435.0,380.0,371.0,387.0,2.0,5.0,4.0,14.0,8.0,12.0,26.0,31.0,40.0,51.0,81.0,125.0,172.0,261.0,327.0,428.0,555.0,652.0,785.0,856.0,868.0,934.0,969.0,1013.0,1079.0,987.0,972.0,897.0,918.0,795.0,848.0,808.0,800.0,809.0,702.0,705.0,673.0,617.0,630.0,583.0,554.0,566.0,521.0,482.0,451.0,439.0,475.0,428.0,451.0,416.0,0.0,0.0015896498252223612,0.0026155057028180995,0.004767470462484602,0.007207352571702574,0.010614861481246463,0.016733676163182443,0.023802533637450773,0.033948776718192186,0.04773902273554076,0.06729207377463176,0.09689126739145648,0.13355694056890743,0.18399503785641824,0.2382048951158683,0.3057191366365968,0.36979006411792203,0.4346800324471166,0.47912221667688004,0.5315168360977814,0.5690866287711186,0.60043027992014,0.6271481045737689,0.6491383303383194,0.6597332696086653,0.6693663509968617,0.6781860163395214,0.6829695518516026,0.6859692821228479,0.6929673578521339,0.6954255702292145,0.6957021187971704,0.6984059971343425,0.7006652992609568,0.7010977490165708,0.7030422012732407,0.7002783403769515,0.6951332459983266,0.6949354084986077,0.6938998620249514,0.691415150599358,0.6894056892756979,0.6858866148359138,0.6831660565999526,0.6799022495717322,0.6791626096587251,0.6787258690094091,0.6786269105521694,0.6746829984221733,0.671676342078884
6.0,15.0,22.0,24.0,57.0,83.0,137.0,210.0,283.0,369.0,481.0,592.0,747.0,844.0,1021.0,1005.0,1058.0,1026.0,1140.0,1038.0,1025.0,971.0,948.0,915.0,846.0,722.0,814.0,816.0,717.0,699.0,672.0,641.0,594.0,593.0,542.0,506.0,519.0,516.0,484.0,470.0,474.0,432.0,431.0,459.0,453.0,421.0,412.0,417.0,440.0,363.0,3.0,3.0,6.0,9.0,14.0,25.0,45.0,74.0,120.0,175.0,223.0,298.0,390.0,465.0,579.0,697.0,781.0,848.0,895.0,949.0,978.0,1010.0,1019.0,1037.0,966.0,907.0,875.0,842.0,819.0,811.0,781.0,752.0,699.0,686.0,632.0,627.0,600.0,560.0,567.0,516.0,541.0,479.0,458.0,470.0,467.0,456.0,449.0,445.0,476.0,442.0,0.0,0.0013627111193802444,0.004281090952037769,0.007854516716006676,0.010901500644736495,0.020683903513381674,0.03317003047118283,0.05390326127411327,0.08394481890154759,0.12001243978934051,0.16267200024827166,0.21398518694015844,0.2696446669434496,0.3339669748956988,0.39325002790929275,0.4591542240011468,0.504147214206146,0.5456651677470143,0.5755027673598587,0.6115888328111881,0.6311852564598106,0.6489628729110029,0.6614129339006238,0.672529597857825,0.6814411464784655,0.686017880585653,0.6835764615870915,0.6915276170700444,0.6986880444229264,0.6987819915670471,0.6999732934637322,0.7006695077716913,0.7005648801454774,0.6986483457799337,0.6985135189500867,0.6957877645296626,0.6923596587979619,0.6916378438421085,0.6913304007518206,0.6893179538224303,0.6874991975493916,0.6869453558994096,0.6838388030475613,0.6820670023256602,0.6830652056831354,0.6833877763621339,0.6815948367258033,0.6801238455137429,0.6797256429323193,0.6812845023360483
10.0,6.0,14.0,13.0,18.0,31.0,45.0,70.0,110.0,131.0,197.0,278.0,363.0,504.0,654.0,773.0,921.0,1007.0,1073.0,1156.0,1135.0,1112.0,1075.0,971.0,949.0,892.0,909.0,800.0,778.0,763.0,716.0,724.0,651.0,662.0,582.0,585.0,574.0,554.0,470.0,494.0,501.0,470.0,447.0,422.0,400.0,409.0,396.0,384.0,377.0,394.0,5.0,3.0,7.0,4.0,11.0,13.0,14.0,26.0,34.0,49.0,97.0,111.0,157.0,207.0,311.0,411.0,498.0,611.0,711.0,842.0,909.0,968.0,986.0,989.0,1046.0,1024.0,984.0,958.0,894.0,844.0,815.0,859.0,797.0,752.0,699.0,691.0,689.0,657.0,595.0,559.0,565.0,535.0,521.0,522.0,454.0,447.0,411.0,446.0,408.0,389.0,0.0,0.0022701579214413625,0.0028282297743319473,0.005187052834015771,0.006620126665321746,0.008946408561936847,0.013632620127071893,0.020119193130053725,0.030397029817110455,0.046538737568665445,0.06260298892995864,0.08861586747750638,0.12366269358928617,0.16515797599665094,0.2207066474024434,0.284742341608736,0.3478102787996721,0.4134613557236646,0.47096281165805887,0.5210054082002987,0.5675394434364753,0.601217238661615,0.6273982606376747,0.6474008018944228,0.6579278350184273,0.668488401876747,0.6754462597877875,0.6851017473896552,0.6868406070187175,0.6897169193831737,0.6930668590931972,0.6941816914384573,0.6975233872804463,0.6963652511949572,0.6981072297739561,0.6949935834254277,0.6944926301902072,0.6942607705452241,0.6935402493787636,0.6879264538208886,0.6866754964065411,0.6865853789473139,0.6846258704913137,0.6821134635309272,0.6789487629254836,0.6754382327746884,0.6738656919067842,0.6718024200598087,0.6695708414885162,0.6675785352930975
9.0,17.0,26.0,37.0,67.0,85.0,116.0,193.0,282.0,340.0,463.0,626.0,753.0,916.0,1038.0,1094.0,1132.0,1060.0,1159.0,1087.0,1058.0,962.0,941.0,965.0,871.0,758.0,748.0,723.0,693.0,652.0,607.0,612.0,583.0,541.0,536.0,521.0,469.0,418.0,426.0,433.0,422.0,386.0,378.0,393.0,394.0,372.0,371.0,376.0,368.0,338.0,1.0,5.0,10.0,11.0,23.0,30.0,49.0,63.0,126.0,155.0,198.0,295.0,395.0,467.0,594.0,681.0,815.0,926.0,934.0,1040.0,1104.0,988.0,1028.0,1002.0,959.0,968.0,917.0,911.0,772.0,787.0,722.0,691.0,708.0,665.0,625.0,583.0,576.0,542.0,519.0,500.0,462.0,430.0,432.0,391.0,447.0,402.0,395.0,423.0,412.0,375.0,0.0,0.002043373214701494,0.005171998921637888,0.009385329951174914,0.014903587347449454,0.025640917762456805,0.03719097498474233,0.05254818088171187,0.08019095045491698,0.11773561326449944,0.15562171409109127,0.2063060017506122,0.2701473413179726,0.33439405577395676,0.4030376858424122,0.4667163872659802,0.519048953313042,0.5627174869550031,0.5904553505361061,0.6239949416681116,0.6448808497698385,0.6620289245251696,0.6711341199662364,0.6804173840582768,0.6920794766467846,0.6965101006602359,0.695111699992078,0.6964825179064152,0.6977749574238037,0.6984456419531984,0.6977585717032986,0.6956999930259202,0.6959567725614508,0.6950603339689283,0.6925040577226852,0.6913162104326935,0.6900741553596458,0.6861183238366702,0.6803388901892962,0.6773642413787306,0.6758558520250564,0.6740187065408436,0.6701883719455859,0.667144581626685,0.66619074619638,0.6655006622311714,0.6633556736368166,0.6619462914300996,0.6613903351330006,0.6603985752648793
