day,mean_Istar
1.0,8.6
2.0,12.6
3.0,18.6
4.0,27.4
5.0,42.2
6.0,62.45
7.0,88.7
8.0,134.75
9.0,196.0
10.0,263.4
11.0,369.6
12.0,507.2
13.0,650.6
14.0,785.5
15.0,921.7
16.0,1016.35
17.0,1091.15
18.0,1105.8
19.0,1104.75
20.0,1091.55
21.0,1067.65
22.0,1028.15
23.0,982.5
24.0,950.55
25.0,888.85
26.0,833.8
27.0,804.05
28.0,762.55
29.0,729.85
30.0,691.8
31.0,665.05
32.0,645.9
33.0,605.6
34.0,582.75
35.0,561.15
36.0,536.05
37.0,513.65
38.0,501.25
39.0,470.45
40.0,455.55
41.0,457.55
42.0,437.1
43.0,421.15
44.0,412.9
45.0,406.2
46.0,399.2
47.0,391.5
48.0,374.35
49.0,372.65
50.0,359.05
