Istar[1],Istar[2],Istar[3],Istar[4],Istar[5],Istar[6],Istar[7],Istar[8],Istar[9],Istar[10],Istar[11],Istar[12],Istar[13],Istar[14],Istar[15],Istar[16],Istar[17],Istar[18],Istar[19],Istar[20],Istar[21],Istar[22],Istar[23],Istar[24],Istar[25],Istar[26],Istar[27],Istar[28],Istar[29],Istar[30],Istar[31],Istar[32],Istar[33],Istar[34],Istar[35],Istar[36],Istar[37],Istar[38],Istar[39],Istar[40],Istar[41],Istar[42],Istar[43],Istar[44],Istar[45],Istar[46],Istar[47],Istar[48],Istar[49],Istar[50],Rstar[1],Rstar[2],Rstar[3],Rstar[4],Rstar[5],Rstar[6],Rstar[7],Rstar[8],Rstar[9],Rstar[10],Rstar[11],Rstar[12],Rstar[13],Rstar[14],Rstar[15],Rstar[16],Rstar[17],Rstar[18],Rstar[19],Rstar[20],Rstar[21],Rstar[22],Rstar[23],Rstar[24],Rstar[25],Rstar[26],Rstar[27],Rstar[28],Rstar[29],Rstar[30],Rstar[31],Rstar[32],Rstar[33],Rstar[34],Rstar[35],Rstar[36],Rstar[37],Rstar[38],Rstar[39],Rstar[40],Rstar[41],Rstar[42],Rstar[43],Rstar[44],Rstar[45],Rstar[46],Rstar[47],Rstar[48],Rstar[49],Rstar[50],alarm[1],alarm[2],alarm[3],alarm[4],alarm[5],alarm[6],alarm[7],alarm[8],alarm[9],alarm[10],alarm[11],alarm[12],alarm[13],alarm[14],alarm[15],alarm[16],alarm[17],alarm[18],alarm[19],alarm[20],alarm[21],alarm[22],alarm[23],alarm[24],alarm[25],alarm[26],alarm[27],alarm[28],alarm[29],alarm[30],alarm[31],alarm[32],alarm[33],alarm[34],alarm[35],alarm[36],alarm[37],alarm[38],alarm[39],alarm[40],alarm[41],alarm[42],alarm[43],alarm[44],alarm[45],alarm[46],alarm[47],alarm[48],alarm[49],alarm[50]
12.0,15.0,25.0,25.0,48.0,81.0,114.0,175.0,240.0,333.0,455.0,576.0,804.0,932.0,1047.0,1093.0,1163.0,1205.0,1145.0,1140.0,1049.0,1061.0,992.0,1005.0,974.0,955.0,891.0,859.0,846.0,827.0,824.0,865.0,769.0,742.0,713.0,662.0,672.0,683.0,660.0,633.0,569.0,615.0,645.0,578.0,590.0,617.0,573.0,614.0,573.0,597.0,5.0,7.0,10.0,9.0,13.0,26.0,53.0,60.0,98.0,123.0,188.0,268.0,326.0,492.0,625.0,727.0,817.0,935.0,970.0,1063.0,1075.0,1070.0,1045.0,1061.0,1045.0,1011.0,1011.0,921.0,894.0,943.0,895.0,873.0,853.0,900.0,833.0,796.0,761.0,716.0,693.0,691.0,692.0,642.0,576.0,621.0,634.0,639.0,609.0,616.0,613.0,613.0,0.0,0.0027235734168231662,0.005213694112584433,0.009275091351901632,0.012190568051497208,0.01961651194877656,0.03218409755129792,0.04826082430237555,0.07281471619188962,0.10361774539372492,0.14398093159811032,0.19526801828550377,0.2521381979003544,0.32801165130692544,0.39701719008820957,0.459424956577582,0.5089003967906955,0.5529372406415692,0.5899707773035616,0.6132673822863028,0.6329775322293202,0.6427926188963327,0.6543219520883494,0.6598694880594522,0.6676256409281018,0.6729590513507433,0.6774572468762595,0.677862232902537,0.6777138083931253,0.6782290593014295,0.678489132338106,0.6796131245995982,0.6843683238911087,0.6815572394586822,0.6788317580187844,0.675638547263874,0.6702612533689909,0.6678227747940746,0.6672216842264996,0.6652753804265423,0.6621816991358194,0.6553372179170643,0.6544793646747121,0.6561233178309009,0.6519563766444973,0.6503415736239485,0.6514225744927794,0.648663876169999,0.6502892455803289,0.6481354820223416
9.0,10.0,14.0,28.0,40.0,43.0,81.0,106.0,171.0,237.0,320.0,457.0,631.0,765.0,929.0,1003.0,1078.0,1163.0,1188.0,1241.0,1182.0,1105.0,1039.0,1086.0,988.0,994.0,908.0,877.0,894.0,896.0,843.0,810.0,789.0,710.0,743.0,777.0,731.0,669.0,715.0,672.0,675.0,631.0,622.0,597.0,610.0,556.0,591.0,595.0,583.0,591.0,4.0,3.0,8.0,7.0,9.0,21.0,25.0,37.0,66.0,87.0,148.0,190.0,267.0,344.0,490.0,601.0,708.0,809.0,909.0,1019.0,1035.0,1128.0,1129.0,1081.0,1045.0,1079.0,1043.0,1016.0,907.0,895.0,969.0,888.0,896.0,852.0,839.0,780.0,784.0,735.0,777.0,733.0,768.0,732.0,651.0,668.0,637.0,623.0,599.0,630.0,569.0,597.0,0.0,0.002043373214701494,0.0036297890584885417,0.005703442208580989,0.010385329863897619,0.016380114313169658,0.02139862931402592,0.033659527457661986,0.04776617879376799,0.0718929565484675,0.1025402157463351,0.14080651624217821,0.19364063543583654,0.26030663371479357,0.32683435021612584,0.396206255509696,0.45357809212920686,0.5036906934155121,0.5495323030852624,0.5859327787580736,0.6188246523760332,0.6395810217825371,0.6516241228053811,0.6586648742056214,0.6705001655291232,0.6738818472120354,0.6794443921882487,0.6791690001265049,0.6788776686038196,0.6816204742161374,0.6849759624210021,0.6847506114664156,0.683562705720702,0.682355767969934,0.6766763643351121,0.6760780048012902,0.678614523992616,0.6774138381255856,0.6726752075169777,0.6734671073266809,0.6710368576135229,0.6700415731291811,0.6663192088183261,0.6634101068344262,0.6596391671943054,0.6581854686320531,0.6529322308545046,0.6522138536642519,0.6518949791428598,0.6507125457943144
8.0,15.0,21.0,27.0,34.0,58.0,84.0,125.0,173.0,267.0,352.0,494.0,662.0,810.0,966.0,995.0,1144.0,1174.0,1100.0,1227.0,1115.0,1109.0,961.0,1023.0,994.0,987.0,912.0,819.0,848.0,812.0,851.0,778.0,745.0,773.0,734.0,691.0,732.0,720.0,688.0,640.0,664.0,693.0,623.0,646.0,652.0,598.0,615.0,602.0,583.0,572.0,2.0,5.0,9.0,10.0,16.0,22.0,29.0,42.0,65.0,95.0,162.0,209.0,307.0,360.0,510.0,617.0,742.0,879.0,939.0,986.0,1097.0,1067.0,1050.0,1032.0,1073.0,1055.0,1001.0,956.0,915.0,898.0,886.0,891.0,866.0,827.0,780.0,806.0,732.0,722.0,785.0,701.0,714.0,719.0,689.0,681.0,655.0,689.0,622.0,651.0,613.0,577.0,0.0,0.001816537186474343,0.004610597515951498,0.007923129883175672,0.011681538529808133,0.016044708062547097,0.024658703582425612,0.036535366123961466,0.05397885625981358,0.07663727831051748,0.11216983448193518,0.1536660286458853,0.2091723092694553,0.2760050940973404,0.3444336815756144,0.41315293533953557,0.46445229435002466,0.5192559768838746,0.5615446976875913,0.5867040882595603,0.6196169815811046,0.6355415643070592,0.6500979348650813,0.6518799048847699,0.6615736361827578,0.6683735649329399,0.6748952392333545,0.675976925976294,0.6719686547342114,0.6732369029920726,0.6726396048858991,0.676351916296114,0.6744388148109077,0.6718417587424368,0.6730669350669657,0.6716257833912296,0.6681555304343573,0.6695360857885673,0.6699449749294878,0.6683375990916929,0.664134939605443,0.6635707848915892,0.6656114414372543,0.6618665109151964,0.6615601872043175,0.6619992385862354,0.658344360569151,0.657519794322295,0.6560441373017538,0.6536993915660845
10.0,13.0,25.0,33.0,51.0,85.0,107.0,149.0,241.0,317.0,478.0,629.0,758.0,929.0,1042.0,1185.0,1211.0,1159.0,1110.0,1135.0,1091.0,1145.0,1060.0,1019.0,973.0,944.0,922.0,897.0,908.0,819.0,813.0,817.0,760.0,758.0,753.0,715.0,720.0,699.0,690.0,598.0,661.0,640.0,579.0,559.0,602.0,531.0,564.0,548.0,520.0,528.0,6.0,4.0,7.0,10.0,17.0,29.0,49.0,38.0,77.0,142.0,198.0,285.0,366.0,452.0,612.0,743.0,863.0,966.0,1004.0,1013.0,1055.0,1081.0,1090.0,1076.0,1070.0,1056.0,983.0,967.0,945.0,955.0,954.0,856.0,864.0,814.0,787.0,821.0,793.0,734.0,747.0,769.0,674.0,716.0,679.0,681.0,600.0,641.0,604.0,563.0,583.0,498.0,0.0,0.0022701579214413625,0.004459766496897388,0.008749546659798546,0.013581580460763965,0.02114544953873787,0.034109717665039896,0.048108335888328746,0.06737209874056993,0.10039322579569221,0.13856999585292362,0.1958305138782167,0.2610523756972999,0.32616375585967694,0.39578759047015566,0.45810630338747893,0.5182755382527493,0.5633772469844027,0.5925195676376677,0.6124884727548621,0.6325672096094092,0.6462030256174217,0.66321655639627,0.6711854077324534,0.676741531457848,0.6798884117682851,0.6823134112785083,0.6844018240717831,0.6857810983670292,0.6890572487085747,0.6862814201277282,0.685361541195882,0.6860223195805831,0.6832242187053365,0.6820570803704,0.6815368174250693,0.6789849387578666,0.6781944734966929,0.6765244838002408,0.6751509157235448,0.6676656699917451,0.6677156963795257,0.6660900972109902,0.6604534803416495,0.6552098948013929,0.6549685355563167,0.6489467209373245,0.6475227717192626,0.6450201518367402,0.6409279723450325
6.0,9.0,16.0,27.0,37.0,54.0,72.0,144.0,207.0,289.0,423.0,551.0,749.0,877.0,1037.0,1001.0,1129.0,1159.0,1109.0,1150.0,1105.0,1103.0,1036.0,991.0,877.0,967.0,916.0,859.0,829.0,801.0,767.0,746.0,752.0,701.0,675.0,726.0,685.0,694.0,654.0,699.0,694.0,672.0,674.0,659.0,629.0,618.0,622.0,620.0,626.0,611.0,3.0,2.0,5.0,6.0,15.0,21.0,27.0,44.0,64.0,101.0,150.0,222.0,350.0,421.0,599.0,661.0,831.0,904.0,919.0,1027.0,1048.0,1031.0,1094.0,1045.0,1016.0,1025.0,992.0,1017.0,944.0,912.0,880.0,818.0,777.0,814.0,775.0,718.0,772.0,752.0,692.0,645.0,699.0,695.0,675.0,669.0,690.0,674.0,658.0,639.0,644.0,578.0,0.0,0.0013627111193802444,0.0029502042285523,0.005665777802114302,0.010077887893728654,0.015470526563215903,0.02320078121968283,0.0327946393895262,0.05544591538159671,0.08438955615156185,0.12145146645910698,0.17334759553803658,0.23209639162128926,0.3051840303504094,0.3734615561625786,0.4418741760100694,0.4852442603378002,0.5328437411334591,0.570834722876912,0.59553458385129,0.6202004818905038,0.636704631312724,0.6514838581536644,0.6595922105220215,0.6649173465686431,0.6626825757562416,0.6705905573205271,0.6737824637076809,0.6736252698585399,0.6730247912102947,0.6719422451836127,0.6698474297657674,0.66785559215529,0.667786721477579,0.6645303426947862,0.6610220577208001,0.6630933869428128,0.6616469215589814,0.6619177760175503,0.6594298313287488,0.6617188802992819,0.6631580762721915,0.6629040611213033,0.6633999243937716,0.66300979791152,0.6608661193935589,0.6589524705607559,0.6582288214660225,0.657768807175872,0.6581278869157086
10.0,9.0,22.0,20.0,40.0,49.0,75.0,125.0,187.0,259.0,364.0,524.0,596.0,842.0,949.0,1037.0,1042.0,1136.0,1114.0,1123.0,1132.0,1078.0,1062.0,1029.0,1023.0,947.0,978.0,937.0,834.0,837.0,833.0,777.0,748.0,760.0,710.0,705.0,708.0,704.0,700.0,684.0,639.0,651.0,644.0,618.0,587.0,635.0,629.0,601.0,587.0,585.0,6.0,3.0,8.0,11.0,10.0,18.0,24.0,41.0,65.0,94.0,162.0,218.0,275.0,395.0,520.0,645.0,694.0,806.0,919.0,985.0,980.0,1058.0,1088.0,1050.0,1063.0,1050.0,1059.0,1037.0,984.0,911.0,906.0,827.0,870.0,837.0,822.0,758.0,757.0,719.0,756.0,694.0,715.0,702.0,667.0,652.0,668.0,647.0,656.0,662.0,618.0,613.0,0.0,0.0022701579214413625,0.003554302412228205,0.0074720680088916636,0.009762848739331087,0.016067072021381135,0.022544008492909384,0.033095056856170424,0.05156647459760122,0.07773176056892206,0.11097457562947877,0.15510503915880058,0.21530202832383338,0.26883062522021617,0.3451529082574497,0.4110941960649447,0.4682482327833307,0.5101360093267489,0.5522507522995145,0.5818201082935103,0.6067566700176827,0.628214817545643,0.6418875217153868,0.6535474493965252,0.6620876406539734,0.6703411714327585,0.6728210941006847,0.6792651968371248,0.6825457095306955,0.6792159971807965,0.6789680304566295,0.6797516613382681,0.6772721784119516,0.6745118264281427,0.6743577175520915,0.6711445081001189,0.6692577658174268,0.6686772692022867,0.6683931219805763,0.6683265417405653,0.667501075889141,0.6639486399791337,0.6628732625166238,0.6618124651064097,0.6593129017068253,0.6554303638479448,0.6567334982880177,0.6571270232550555,0.6553931197145011,0.6533696598562078
7.0,14.0,20.0,30.0,47.0,78.0,114.0,165.0,249.0,352.0,441.0,585.0,747.0,883.0,1005.0,1027.0,1064.0,1139.0,1129.0,1147.0,1114.0,1091.0,1041.0,1071.0,996.0,902.0,908.0,865.0,892.0,799.0,811.0,753.0,735.0,755.0,728.0,721.0,624.0,674.0,633.0,635.0,618.0,594.0,619.0,590.0,593.0,643.0,563.0,634.0,591.0,584.0,3.0,3.0,8.0,10.0,21.0,19.0,37.0,71.0,94.0,136.0,195.0,256.0,376.0,461.0,570.0,712.0,779.0,847.0,903.0,1010.0,1020.0,1102.0,1062.0,1065.0,1093.0,1055.0,1020.0,896.0,991.0,945.0,897.0,863.0,862.0,802.0,764.0,808.0,751.0,706.0,705.0,679.0,716.0,667.0,603.0,686.0,597.0,614.0,599.0,595.0,598.0,634.0,0.0,0.0015896498252223612,0.004233477301996191,0.007434470304247376,0.012003455193453916,0.019118723900582335,0.03109925711636452,0.047459473159908505,0.07006549212367019,0.10356808279842988,0.14742847114226576,0.19474710900357228,0.2534332378238745,0.32002197400060906,0.38547829855517923,0.44694079533345776,0.49310447999245477,0.5320141524209386,0.5695857969876172,0.5973604894442787,0.6215912584138157,0.638841155427426,0.6523605647564488,0.6610211354256975,0.6723017728690558,0.6769551852987254,0.6758707078885736,0.6779325414601995,0.6779066765889585,0.6814589601984162,0.6783639107903221,0.6785404164574509,0.6753542901203289,0.6728028096496383,0.6732664945401075,0.672106525377725,0.6714224220084253,0.6641389917661655,0.663572354534502,0.6601272609366304,0.6582167742222184,0.6557338150123841,0.6523099985016421,0.6520982268185447,0.6496541717259463,0.6483867233266731,0.6515943905936659,0.6474105709384709,0.6506357115537202,0.6493890341446396
6.0,9.0,27.0,33.0,47.0,78.0,130.0,185.0,266.0,384.0,485.0,595.0,764.0,863.0,1024.0,1092.0,1146.0,1177.0,1168.0,1079.0,1103.0,1017.0,1019.0,994.0,965.0,911.0,910.0,881.0,821.0,863.0,792.0,793.0,833.0,750.0,738.0,723.0,694.0,694.0,656.0,663.0,650.0,645.0,639.0,600.0,591.0,652.0,571.0,560.0,592.0,552.0,1.0,6.0,5.0,7.0,18.0,26.0,42.0,64.0,111.0,145.0,206.0,289.0,395.0,457.0,579.0,738.0,806.0,933.0,945.0,1063.0,1087.0,1066.0,1008.0,1029.0,1005.0,999.0,993.0,961.0,885.0,951.0,909.0,873.0,845.0,849.0,831.0,764.0,760.0,818.0,680.0,742.0,722.0,693.0,660.0,687.0,602.0,634.0,629.0,616.0,604.0,610.0,0.0,0.0013627111193802444,0.0029502042285523,0.008148584281960414,0.013073264591200173,0.019824468249772575,0.03161614844674265,0.0513178139075573,0.07684718335293905,0.11160971114126184,0.15914786290465766,0.21073622789964563,0.2659434158802635,0.3314804395285762,0.39087701811956954,0.4537718196264465,0.5056211217848978,0.549167789901254,0.5849242076713765,0.611951083094513,0.6266605354435154,0.642907353032584,0.6504508298558891,0.6591983991674433,0.6659891977848311,0.6709579107964807,0.6726128187485156,0.6757729734834244,0.6774936614965954,0.6758434656911856,0.6792772871705623,0.6774597195166921,0.6775168136971097,0.6813885884399669,0.6787359572671263,0.6770608855415566,0.6755108576013908,0.6728798411263726,0.6716028896090713,0.6682434826510227,0.6668716897775542,0.6651698378959878,0.663875464861025,0.662748680993602,0.659169878105727,0.6562519017517614,0.65911951496813,0.6546857681486276,0.6511033359612695,0.651258737732893
10.0,14.0,25.0,32.0,60.0,87.0,143.0,202.0,258.0,443.0,601.0,743.0,922.0,1049.0,1064.0,1135.0,1177.0,1249.0,1175.0,1116.0,1109.0,991.0,993.0,955.0,926.0,911.0,859.0,837.0,835.0,778.0,788.0,736.0,775.0,672.0,711.0,664.0,672.0,631.0,671.0,609.0,621.0,612.0,666.0,620.0,605.0,587.0,574.0,566.0,570.0,559.0,3.0,1.0,12.0,9.0,18.0,31.0,52.0,70.0,100.0,155.0,227.0,334.0,448.0,587.0,746.0,782.0,914.0,934.0,1084.0,1102.0,1105.0,1079.0,1077.0,1039.0,1026.0,1036.0,954.0,925.0,879.0,911.0,831.0,850.0,861.0,825.0,781.0,720.0,718.0,716.0,693.0,674.0,669.0,630.0,647.0,646.0,645.0,607.0,643.0,653.0,559.0,558.0,0.0,0.0022701579214413625,0.004686004493511087,0.008899730601736877,0.013469474371986201,0.02308659144484493,0.035828034146323406,0.0570932668246773,0.08449727163871124,0.11541798573511275,0.17339178075667805,0.24055095071185595,0.3092314212646108,0.38257184968187297,0.44912465866118545,0.49756109768597456,0.5415879462876394,0.5788600916004183,0.614056520351584,0.6348974300818516,0.6485053135011155,0.661147566641153,0.6640770973672516,0.6695613645403632,0.6729623260291806,0.675411113251733,0.6779623964593109,0.6776090913917219,0.6773631073368493,0.6783704165638877,0.6759789583741416,0.6761952014956998,0.6732970176126337,0.6750659781724576,0.6691280821501656,0.6687977845565887,0.6653254544068412,0.6640241346422872,0.6602451108841778,0.6610945462590188,0.6569680035833739,0.6554358570471528,0.6537897375832449,0.6570634272580291,0.6557423007750731,0.6540470597480441,0.651730317183241,0.6493059610410536,0.6471224463088907,0.6460103137935478
8.0,16.0,27.0,39.0,59.0,89.0,131.0,224.0,317.0,410.0,566.0,675.0,848.0,938.0,1058.0,1109.0,1159.0,1149.0,1126.0,1075.0,1070.0,1061.0,996.0,1007.0,902.0,905.0,867.0,832.0,882.0,816.0,779.0,794.0,755.0,750.0,676.0,745.0,704.0,698.0,656.0,627.0,606.0,625.0,560.0,619.0,582.0,606.0,595.0,602.0,582.0,589.0,0.0,2.0,10.0,17.0,18.0,30.0,47.0,76.0,119.0,177.0,260.0,310.0,401.0,578.0,638.0,759.0,889.0,926.0,1012.0,1038.0,1040.0,1041.0,1094.0,1016.0,1019.0,972.0,954.0,956.0,911.0,883.0,891.0,849.0,843.0,873.0,770.0,736.0,742.0,750.0,725.0,727.0,671.0,683.0,679.0,614.0,665.0,631.0,594.0,605.0,602.0,610.0,0.0,0.001816537186474343,0.004836801386780554,0.009425196019039572,0.015381013692424395,0.024151846038934943,0.037082724012621804,0.055456651584314676,0.08814519037577417,0.1295216716163905,0.1762345285436947,0.23701870948577275,0.29681511863900134,0.3647123896511423,0.4237125288070256,0.4805017245734725,0.526800340045058,0.566406194523356,0.5957478890785313,0.6176087456961511,0.632155084782403,0.6455111026494831,0.6571584456608917,0.6630538248012476,0.6707962863568586,0.6705739893563356,0.6730580748073371,0.6737126579834196,0.6732047918298064,0.67798666400931,0.6774710789522997,0.6757060213636894,0.6766925451570799,0.675297783029513,0.6748366542969173,0.6696758358749699,0.672045609378289,0.6708697112057029,0.6701898697248996,0.6670104667123175,0.6630749781143916,0.659050319194304,0.6579387068824463,0.6520792287377919,0.652924807929265,0.6504076018430427,0.6507396021771958,0.6501020080636325,0.650370128116356,0.6490836451450088
