day,mean_Istar
1.0,6.9
2.0,11.9
3.0,17.65
4.0,25.15
5.0,38.4
6.0,57.1
7.0,86.45
8.0,125.5
9.0,187.25
10.0,266.35
11.0,373.85
12.0,504.0
13.0,660.15
14.0,814.15
15.0,952.6
16.0,1072.2
17.0,1178.1
18.0,1225.5
19.0,1273.6
20.0,1289.75
21.0,1317.1
22.0,1325.05
23.0,1317.2
24.0,1322.0
25.0,1326.5
26.0,1321.6
27.0,1326.05
28.0,1311.8
29.0,1333.45
30.0,1318.2
31.0,1319.75
32.0,1314.35
33.0,1323.25
34.0,1304.65
35.0,1315.85
36.0,1303.65
37.0,1315.25
38.0,1311.4
39.0,1309.2
40.0,1298.5
41.0,1303.85
42.0,1312.35
43.0,1308.35
44.0,1307.8
45.0,1299.7
46.0,1292.45
47.0,1302.0
48.0,1280.95
49.0,1293.1
50.0,1284.75
