Istar[1],Istar[2],Istar[3],Istar[4],Istar[5],Istar[6],Istar[7],Istar[8],Istar[9],Istar[10],Istar[11],Istar[12],Istar[13],Istar[14],Istar[15],Istar[16],Istar[17],Istar[18],Istar[19],Istar[20],Istar[21],Istar[22],Istar[23],Istar[24],Istar[25],Istar[26],Istar[27],Istar[28],Istar[29],Istar[30],Istar[31],Istar[32],Istar[33],Istar[34],Istar[35],Istar[36],Istar[37],Istar[38],Istar[39],Istar[40],Istar[41],Istar[42],Istar[43],Istar[44],Istar[45],Istar[46],Istar[47],Istar[48],Istar[49],Istar[50],Rstar[1],Rstar[2],Rstar[3],Rstar[4],Rstar[5],Rstar[6],Rstar[7],Rstar[8],Rstar[9],Rstar[10],Rstar[11],Rstar[12],Rstar[13],Rstar[14],Rstar[15],Rstar[16],Rstar[17],Rstar[18],Rstar[19],Rstar[20],Rstar[21],Rstar[22],Rstar[23],Rstar[24],Rstar[25],Rstar[26],Rstar[27],Rstar[28],Rstar[29],Rstar[30],Rstar[31],Rstar[32],Rstar[33],Rstar[34],Rstar[35],Rstar[36],Rstar[37],Rstar[38],Rstar[39],Rstar[40],Rstar[41],Rstar[42],Rstar[43],Rstar[44],Rstar[45],Rstar[46],Rstar[47],Rstar[48],Rstar[49],Rstar[50],alarm[1],alarm[2],alarm[3],alarm[4],alarm[5],alarm[6],alarm[7],alarm[8],alarm[9],alarm[10],alarm[11],alarm[12],alarm[13],alarm[14],alarm[15],alarm[16],alarm[17],alarm[18],alarm[19],alarm[20],alarm[21],alarm[22],alarm[23],alarm[24],alarm[25],alarm[26],alarm[27],alarm[28],alarm[29],alarm[30],alarm[31],alarm[32],alarm[33],alarm[34],alarm[35],alarm[36],alarm[37],alarm[38],alarm[39],alarm[40],alarm[41],alarm[42],alarm[43],alarm[44],alarm[45],alarm[46],alarm[47],alarm[48],alarm[49],alarm[50]
5.0,5.0,10.0,20.0,38.0,49.0,63.0,117.0,165.0,246.0,341.0,445.0,599.0,725.0,923.0,982.0,1100.0,1126.0,1145.0,1157.0,1115.0,1076.0,1099.0,1025.0,1003.0,994.0,958.0,872.0,857.0,789.0,833.0,826.0,759.0,810.0,773.0,654.0,700.0,664.0,676.0,718.0,649.0,610.0,643.0,621.0,635.0,632.0,588.0,654.0,621.0,596.0,3.0,2.0,1.0,4.0,10.0,18.0,29.0,42.0,58.0,93.0,153.0,184.0,263.0,357.0,463.0,563.0,702.0,814.0,912.0,982.0,1013.0,1012.0,1061.0,1066.0,1059.0,1032.0,994.0,980.0,1005.0,955.0,904.0,920.0,806.0,846.0,845.0,796.0,757.0,744.0,722.0,708.0,783.0,741.0,662.0,609.0,678.0,627.0,645.0,622.0,630.0,653.0,0.0,0.0011357210574052257,0.0018921548989901948,0.0035920464470600155,0.007058415260882467,0.013544213173824926,0.02056575079237466,0.02882345707675038,0.046737768787481815,0.06954150255742075,0.10256315439087837,0.14460081384721468,0.19362291052038727,0.2549366680495293,0.31738060287449443,0.38946275080039194,0.44630387112736203,0.5011944395571633,0.5435208798090659,0.5776351852542718,0.6056666816677784,0.6248665144253971,0.6386735153054222,0.6535707933588049,0.6610052385948084,0.6675432076934182,0.6739624266988643,0.6779757662967214,0.6765570555486282,0.676491608790259,0.672918388779118,0.6751191254028082,0.6770074656605127,0.6743436266644218,0.6773677150243016,0.6773839298071188,0.669411587444456,0.6682852804390109,0.6650487777312808,0.6641486511146761,0.6669957300756428,0.6639107317732464,0.6593234993304378,0.6590891473683695,0.65728939237068,0.6573760020032715,0.6573470187851131,0.6540911213903453,0.6573547100475551,0.6570135429911497
8.0,13.0,20.0,26.0,40.0,60.0,100.0,134.0,178.0,287.0,405.0,503.0,692.0,803.0,960.0,1044.0,1116.0,1162.0,1147.0,1161.0,1187.0,1099.0,1042.0,947.0,971.0,908.0,894.0,892.0,842.0,832.0,809.0,812.0,754.0,790.0,766.0,684.0,693.0,699.0,657.0,637.0,656.0,617.0,618.0,627.0,628.0,632.0,622.0,584.0,599.0,597.0,4.0,6.0,4.0,11.0,13.0,22.0,30.0,58.0,66.0,99.0,155.0,238.0,310.0,418.0,512.0,623.0,808.0,885.0,953.0,927.0,1068.0,1101.0,1103.0,1011.0,1012.0,1024.0,1004.0,930.0,953.0,946.0,885.0,883.0,860.0,864.0,843.0,801.0,739.0,741.0,676.0,721.0,700.0,693.0,642.0,649.0,618.0,660.0,610.0,635.0,627.0,601.0,0.0,0.001816537186474343,0.004158036190988312,0.007396871181615694,0.011082345909544822,0.016946319761295348,0.02564104894176711,0.04069376002946001,0.058687148445348725,0.08099768000587426,0.11935651380667334,0.16874739629529556,0.22078545681309258,0.2890243110469387,0.352369220918886,0.4182860516309933,0.47451082268458133,0.523088831729641,0.5636589096254496,0.5931985868479976,0.618501164669444,0.6415059987979987,0.6535507851010733,0.6611440826534787,0.6624007796160889,0.6680904862355427,0.6694235136232757,0.671445450270161,0.6744405913547273,0.6743138843616332,0.6749955175396644,0.6749904102485169,0.6763333151126807,0.6739150963884557,0.6759373966626536,0.6762147857258334,0.6710982148736321,0.669068759424783,0.6685494532422916,0.665362605795734,0.6620763194997625,0.6615839973842383,0.6583712535771358,0.656522938955892,0.6560978840764903,0.6559989749814678,0.6564177418710517,0.6561244980852265,0.6531919063633037,0.6526600538448726
9.0,12.0,25.0,33.0,55.0,66.0,115.0,166.0,253.0,330.0,447.0,607.0,754.0,922.0,982.0,1075.0,1139.0,1149.0,1148.0,1168.0,1038.0,1063.0,1019.0,1016.0,975.0,951.0,906.0,936.0,871.0,788.0,798.0,763.0,795.0,714.0,731.0,680.0,667.0,691.0,669.0,666.0,577.0,628.0,591.0,597.0,582.0,560.0,586.0,562.0,565.0,616.0,3.0,2.0,8.0,13.0,17.0,23.0,40.0,62.0,95.0,135.0,192.0,275.0,361.0,473.0,594.0,690.0,836.0,896.0,955.0,1035.0,1047.0,1032.0,1012.0,1062.0,1020.0,1062.0,996.0,979.0,992.0,948.0,911.0,791.0,882.0,840.0,798.0,769.0,773.0,719.0,689.0,735.0,684.0,646.0,647.0,627.0,666.0,621.0,563.0,644.0,561.0,580.0,0.0,0.002043373214701494,0.004082589389547753,0.008486670239503225,0.013379780368002914,0.021871974662726168,0.03038060523922048,0.047415134463288044,0.07032754446967782,0.10460622105462447,0.14386824410409538,0.19369758669993142,0.2563971342901611,0.32280673711767394,0.3926656812043948,0.4485449161691738,0.5000013730584516,0.544417397345176,0.5786774726122583,0.605630251112852,0.629489357602429,0.6386152007732613,0.6509811922566966,0.65902631680234,0.6672235117487748,0.6722483169014403,0.6762853210155326,0.6778265828074479,0.6829634747287987,0.683273552673752,0.6790756701097425,0.6783389495719767,0.6761845569705424,0.6779565873176301,0.6738351527263714,0.6731302140440838,0.6693189779912958,0.6662753937172594,0.6663795464011815,0.6650033434890913,0.6641953356949097,0.6570517321615772,0.6565320451117129,0.6531986951369128,0.6515360093318194,0.6492258394302219,0.6459400209090098,0.6458467725926151,0.6437656728959802,0.6426724251109917
8.0,10.0,17.0,32.0,39.0,61.0,86.0,120.0,189.0,242.0,346.0,463.0,642.0,756.0,900.0,1046.0,1111.0,1169.0,1178.0,1102.0,1131.0,1048.0,1052.0,1027.0,997.0,941.0,939.0,908.0,846.0,886.0,812.0,813.0,851.0,767.0,753.0,737.0,705.0,706.0,665.0,672.0,658.0,653.0,648.0,606.0,598.0,659.0,577.0,565.0,597.0,557.0,2.0,2.0,11.0,8.0,13.0,29.0,36.0,54.0,67.0,94.0,159.0,186.0,250.0,382.0,476.0,623.0,714.0,854.0,888.0,1024.0,1065.0,1058.0,1012.0,1040.0,1021.0,1022.0,1017.0,987.0,911.0,977.0,934.0,897.0,867.0,871.0,850.0,782.0,777.0,834.0,694.0,755.0,734.0,704.0,670.0,697.0,609.0,643.0,637.0,624.0,611.0,616.0,0.0,0.001816537186474343,0.0034788100721659942,0.006268237886109751,0.011644099582904133,0.01701334891410977,0.025892016687979358,0.03779122263393386,0.053786821404851914,0.07995885412298664,0.10928961029947093,0.1508721078061206,0.2017803774633241,0.2680322366765977,0.33104606764532507,0.3956051359719295,0.45923350592855017,0.5112097776402098,0.5552372545534972,0.589179454043436,0.6092919270174743,0.6298977372969794,0.6406682957982015,0.6521027471665408,0.6609838801826298,0.6675660809214892,0.6704186896652367,0.6745847296317191,0.6770639175686367,0.6759897235080099,0.6798504997701348,0.6782725178765461,0.6786337007786756,0.6826676730270576,0.6801801285048783,0.6785635797860018,0.6770642828219204,0.6743215906245905,0.6731017645690979,0.6696098460545774,0.6681879286522275,0.6664089041476866,0.6650894524062112,0.6640446945445704,0.6603198735858288,0.6574074440654691,0.6602755224555414,0.6557999649825481,0.6521273144459472,0.6522264791403808
10.0,14.0,25.0,32.0,60.0,87.0,143.0,202.0,258.0,443.0,601.0,743.0,922.0,1049.0,1064.0,1135.0,1177.0,1249.0,1175.0,1116.0,1109.0,991.0,993.0,955.0,926.0,911.0,859.0,837.0,835.0,778.0,788.0,736.0,775.0,672.0,711.0,664.0,672.0,631.0,671.0,609.0,621.0,612.0,666.0,620.0,605.0,587.0,574.0,566.0,570.0,559.0,3.0,1.0,12.0,9.0,18.0,31.0,52.0,70.0,100.0,155.0,227.0,334.0,448.0,587.0,746.0,782.0,914.0,934.0,1084.0,1102.0,1105.0,1079.0,1077.0,1039.0,1026.0,1036.0,954.0,925.0,879.0,911.0,831.0,850.0,861.0,825.0,781.0,720.0,718.0,716.0,693.0,674.0,669.0,630.0,647.0,646.0,645.0,607.0,643.0,653.0,559.0,558.0,0.0,0.0022701579214413625,0.004686004493511087,0.008899730601736877,0.013469474371986201,0.02308659144484493,0.035828034146323406,0.0570932668246773,0.08449727163871124,0.11541798573511275,0.17339178075667805,0.24055095071185595,0.3092314212646108,0.38257184968187297,0.44912465866118545,0.49756109768597456,0.5415879462876394,0.5788600916004183,0.614056520351584,0.6348974300818516,0.6485053135011155,0.661147566641153,0.6640770973672516,0.6695613645403632,0.6729623260291806,0.675411113251733,0.6779623964593109,0.6776090913917219,0.6773631073368493,0.6783704165638877,0.6759789583741416,0.6761952014956998,0.6732970176126337,0.6750659781724576,0.6691280821501656,0.6687977845565887,0.6653254544068412,0.6640241346422872,0.6602451108841778,0.6610945462590188,0.6569680035833739,0.6554358570471528,0.6537897375832449,0.6570634272580291,0.6557423007750731,0.6540470597480441,0.651730317183241,0.6493059610410536,0.6471224463088907,0.6460103137935478
8.0,16.0,27.0,39.0,59.0,89.0,131.0,224.0,317.0,410.0,566.0,675.0,848.0,938.0,1058.0,1109.0,1159.0,1149.0,1126.0,1075.0,1070.0,1061.0,996.0,1007.0,902.0,905.0,867.0,832.0,882.0,816.0,779.0,794.0,755.0,750.0,676.0,745.0,704.0,698.0,656.0,627.0,606.0,625.0,560.0,619.0,582.0,606.0,595.0,602.0,582.0,589.0,0.0,2.0,10.0,17.0,18.0,30.0,47.0,76.0,119.0,177.0,260.0,310.0,401.0,578.0,638.0,759.0,889.0,926.0,1012.0,1038.0,1040.0,1041.0,1094.0,1016.0,1019.0,972.0,954.0,956.0,911.0,883.0,891.0,849.0,843.0,873.0,770.0,736.0,742.0,750.0,725.0,727.0,671.0,683.0,679.0,614.0,665.0,631.0,594.0,605.0,602.0,610.0,0.0,0.001816537186474343,0.004836801386780554,0.009425196019039572,0.015381013692424395,0.024151846038934943,0.037082724012621804,0.055456651584314676,0.08814519037577417,0.1295216716163905,0.1762345285436947,0.23701870948577275,0.29681511863900134,0.3647123896511423,0.4237125288070256,0.4805017245734725,0.526800340045058,0.566406194523356,0.5957478890785313,0.6176087456961511,0.632155084782403,0.6455111026494831,0.6571584456608917,0.6630538248012476,0.6707962863568586,0.6705739893563356,0.6730580748073371,0.6737126579834196,0.6732047918298064,0.67798666400931,0.6774710789522997,0.6757060213636894,0.6766925451570799,0.675297783029513,0.6748366542969173,0.6696758358749699,0.672045609378289,0.6708697112057029,0.6701898697248996,0.6670104667123175,0.6630749781143916,0.659050319194304,0.6579387068824463,0.6520792287377919,0.652924807929265,0.6504076018430427,0.6507396021771958,0.6501020080636325,0.650370128116356,0.6490836451450088
9.0,25.0,26.0,44.0,65.0,89.0,135.0,183.0,239.0,337.0,452.0,657.0,752.0,869.0,1025.0,1100.0,1126.0,1190.0,1182.0,1178.0,1152.0,1097.0,1021.0,1039.0,949.0,921.0,864.0,829.0,825.0,784.0,787.0,735.0,725.0,698.0,766.0,702.0,694.0,639.0,648.0,662.0,653.0,630.0,618.0,630.0,625.0,632.0,631.0,667.0,612.0,598.0,2.0,4.0,10.0,14.0,28.0,36.0,55.0,68.0,105.0,146.0,176.0,298.0,385.0,486.0,603.0,709.0,783.0,908.0,951.0,1029.0,1107.0,1094.0,1155.0,1107.0,1036.0,1075.0,1011.0,944.0,932.0,874.0,860.0,846.0,770.0,808.0,782.0,762.0,761.0,746.0,678.0,693.0,675.0,657.0,668.0,682.0,582.0,641.0,655.0,620.0,670.0,633.0,0.0,0.002043373214701494,0.007020801955697209,0.01066269589107638,0.01744520542920991,0.026979502227029828,0.0391349003765733,0.05792020387620511,0.08146999975715719,0.10991424745226841,0.1497405041098987,0.1992204362737311,0.26900394821762375,0.3309444300192034,0.39127480529432757,0.4540499185662299,0.5066634121065567,0.5477408454238875,0.5853268636878899,0.6133952303394001,0.6359107365761927,0.6528115484595811,0.6636634242048012,0.6687848851228004,0.6767721977840262,0.678079891125231,0.6794060525928434,0.6781228996612247,0.6764103754454669,0.6763483913932274,0.674392757919331,0.6743449270310891,0.6712691839256777,0.6692655540197379,0.6664708515334041,0.670276249417044,0.6683694120694468,0.6671627603838264,0.6626300390764426,0.6607011493531589,0.6606861355225693,0.6601736292762723,0.6583219968552484,0.6564263178283871,0.6563052061756438,0.6559854591330758,0.6565362360119263,0.6570491991890048,0.6604673401308858,0.6587581967879022
8.0,15.0,22.0,28.0,58.0,78.0,95.0,122.0,223.0,341.0,434.0,597.0,751.0,843.0,978.0,1087.0,1159.0,1168.0,1180.0,1139.0,1103.0,1061.0,1010.0,980.0,989.0,962.0,876.0,901.0,847.0,857.0,815.0,787.0,749.0,722.0,718.0,731.0,736.0,666.0,681.0,650.0,619.0,639.0,668.0,593.0,594.0,602.0,598.0,607.0,546.0,603.0,3.0,2.0,4.0,13.0,24.0,37.0,32.0,60.0,67.0,118.0,188.0,257.0,303.0,468.0,586.0,648.0,833.0,882.0,950.0,1036.0,1110.0,1049.0,1085.0,1034.0,980.0,1002.0,1034.0,982.0,921.0,981.0,913.0,893.0,813.0,835.0,818.0,774.0,775.0,783.0,696.0,702.0,682.0,676.0,640.0,687.0,639.0,629.0,620.0,593.0,669.0,562.0,0.0,0.001816537186474343,0.004610597515951498,0.008148584281960414,0.012055850350379482,0.021657038480644264,0.03280510845946427,0.044619201425026844,0.059244381540451085,0.0912238649188456,0.1369004970943024,0.1859408858334627,0.24907135374482348,0.3170532343251601,0.3773138513196228,0.43803226792221217,0.4939050148667411,0.5416953388147046,0.5778937140576723,0.6073035820015016,0.6275698091161672,0.6424211179570647,0.6529319603123972,0.659538192705618,0.6648091141295804,0.671686470916262,0.6765415194876387,0.6756161325970361,0.6788447101877407,0.6785571158571675,0.6805817920877884,0.6800799433564455,0.6788758798756662,0.6762608180940729,0.6733267602683013,0.6716944284530696,0.672064444273059,0.6731316384244344,0.6691000156963298,0.6680935888430555,0.6653574127250725,0.6614522042217287,0.6605896550757822,0.6623315636194462,0.6578313155076926,0.6552052151550598,0.6541344373138308,0.6531263539000947,0.6532418681391732,0.648551636982565
9.0,10.0,15.0,21.0,22.0,34.0,44.0,83.0,122.0,171.0,216.0,325.0,422.0,588.0,752.0,892.0,1033.0,1108.0,1172.0,1212.0,1060.0,1194.0,1124.0,1101.0,1016.0,980.0,990.0,948.0,905.0,870.0,873.0,821.0,791.0,768.0,725.0,703.0,718.0,706.0,688.0,684.0,636.0,624.0,633.0,644.0,602.0,599.0,625.0,592.0,604.0,568.0,2.0,4.0,6.0,10.0,15.0,15.0,14.0,21.0,48.0,82.0,80.0,120.0,177.0,253.0,349.0,454.0,582.0,719.0,774.0,937.0,994.0,1066.0,1047.0,1092.0,1082.0,1063.0,1101.0,1008.0,1013.0,963.0,902.0,939.0,958.0,853.0,810.0,795.0,760.0,764.0,811.0,734.0,712.0,626.0,685.0,727.0,613.0,663.0,620.0,623.0,644.0,548.0,0.0,0.002043373214701494,0.0036297890584885417,0.005929398820687326,0.008959797835164984,0.011411946594204081,0.01602340858365492,0.021621564196617094,0.03437941799394373,0.051806687976098775,0.07464244827051958,0.10032469999331284,0.140685245459653,0.18719489283355495,0.2491212497159131,0.3177991275692703,0.385042428969942,0.4499265146473911,0.5040086269909196,0.5500142642980279,0.5881274434465271,0.6039250806753165,0.6311960734807027,0.6469429063853351,0.6595613817149615,0.6649895596139803,0.6691926751257765,0.6754428142614946,0.6787660625560175,0.6799807055410482,0.6801181953731632,0.6820179768954214,0.6808376952473416,0.6791254748665057,0.6773153088726245,0.6737564191368419,0.6704220331573514,0.6698233530697002,0.6688993095346408,0.6673539481652095,0.6664360142950676,0.662504000179098,0.6592800643372203,0.6579834369640336,0.6580697698736006,0.6549762537506079,0.6528910793714706,0.6536445898626133,0.6515966171179142,0.6513822000902427
10.0,13.0,21.0,38.0,55.0,95.0,118.0,192.0,268.0,406.0,552.0,692.0,872.0,967.0,1008.0,1145.0,1101.0,1172.0,1130.0,1111.0,1082.0,1143.0,1045.0,1037.0,967.0,923.0,889.0,839.0,846.0,860.0,805.0,793.0,738.0,746.0,719.0,709.0,692.0,639.0,657.0,630.0,643.0,588.0,661.0,639.0,595.0,640.0,631.0,631.0,564.0,564.0,3.0,5.0,7.0,14.0,18.0,26.0,46.0,68.0,100.0,153.0,226.0,301.0,427.0,545.0,686.0,780.0,851.0,942.0,943.0,998.0,1066.0,1056.0,1116.0,1088.0,1070.0,1050.0,1030.0,962.0,976.0,874.0,864.0,891.0,829.0,815.0,791.0,788.0,770.0,747.0,715.0,671.0,672.0,662.0,676.0,639.0,639.0,602.0,622.0,656.0,644.0,646.0,0.0,0.0022701579214413625,0.004459766496897388,0.007847967079308904,0.014104574529833602,0.022331335714018352,0.0370837663036071,0.052498075238714303,0.07947562868379932,0.11398035833014952,0.1651373995577572,0.22666816038783777,0.2921279864234845,0.36430469425485,0.4264498973268165,0.47569912767985056,0.5275639667750829,0.560693869868059,0.5941141101010797,0.6164773798272083,0.6340843701553854,0.6474160041705601,0.6646130812730432,0.6716371428407282,0.6789637684140247,0.6814266796753284,0.682353361389918,0.682556263281845,0.680765763357132,0.6815236805422096,0.6841796084110298,0.6830489558546158,0.6825359840293321,0.679076214546714,0.6781373983781339,0.6760684243487487,0.6744789281589079,0.6725853326684992,0.6677122379963474,0.6661349136059135,0.6631242267886039,0.6622761795133149,0.6575275565476529,0.6601989185781356,0.6602293141455486,0.6570843020196269,0.658757801940893,0.6592546573795055,0.6598448718600025,0.6552783786103975
