date,incidienceMA7
2020/3/14,1
2020/3/15,2
2020/3/16,2
2020/3/17,6
2020/3/18,11
2020/3/19,14
2020/3/20,17
2020/3/21,23
2020/3/22,31
2020/3/23,38
2020/3/24,43
2020/3/25,46
2020/3/26,74
2020/3/27,91
2020/3/28,119
2020/3/29,138
2020/3/30,193
2020/3/31,255
2020/4/1,257
2020/4/2,324
2020/4/3,372
2020/4/4,412
2020/4/5,422
2020/4/6,407
2020/4/7,411
2020/4/8,450
2020/4/9,408
2020/4/10,394
2020/4/11,371
2020/4/12,416
2020/4/13,425
2020/4/14,388
2020/4/15,387
2020/4/16,369
2020/4/17,386
2020/4/18,365
2020/4/19,328
2020/4/20,314
2020/4/21,335
2020/4/22,298
2020/4/23,323
2020/4/24,300
2020/4/25,280
2020/4/26,285
2020/4/27,273
2020/4/28,254
2020/4/29,253
2020/4/30,211
2020/5/1,209
2020/5/2,232
2020/5/3,203
2020/5/4,217
2020/5/5,199
2020/5/6,206
2020/5/7,217
2020/5/8,182
2020/5/9,173
2020/5/10,176
2020/5/11,154
2020/5/12,166
2020/5/13,157
