Day,median,ci_low,ci_high,truth
1.0,2.0,1.0,2.0,2.0
2.0,2.0,2.0,2.5124999999999886,6.0
3.0,2.5,2.0,3.0,11.0
4.0,3.0,2.0,4.0,14.0
5.0,4.0,3.0,5.0,17.0
6.0,5.0,4.0,7.0,23.0
7.0,6.5,5.0,9.0,31.0
8.0,8.0,6.0,11.5,38.0
9.0,10.5,7.0,15.5,43.0
10.0,13.5,9.0,20.0,46.0
11.0,17.0,11.0,26.0,74.0
12.0,22.0,13.5,34.01249999999999,91.0
13.0,27.5,17.0,44.5,119.0
14.0,35.0,21.0,56.01249999999999,138.0
15.0,44.5,26.0,73.51249999999999,193.0
16.0,56.0,32.9875,92.51249999999999,255.0
17.0,70.0,39.487500000000004,118.01249999999999,257.0
18.0,87.0,49.0,149.0125,324.0
19.0,109.0,59.5,185.52499999999998,372.0
20.0,133.75,73.5,224.57499999999993,412.0
21.0,162.0,89.0,272.525,422.0
22.0,195.0,107.975,316.0,407.0
23.0,232.25,129.0,363.54999999999995,411.0
24.0,270.5,156.47500000000002,401.54999999999995,450.0
25.0,309.0,182.45,433.5,408.0
26.0,345.5,212.925,453.5125,394.0
27.0,381.5,241.975,464.5125,371.0
28.0,408.0,276.4625,469.53749999999997,416.0
29.0,423.5,306.5,468.0,425.0
30.0,429.5,340.975,468.5,388.0
31.0,430.5,370.4625,465.5125,387.0
32.0,427.0,383.47499999999997,460.0,369.0
33.0,422.0,382.4875,453.5125,386.0
34.0,414.5,373.4875,446.0,365.0
35.0,404.0,355.4875,438.0,328.0
36.0,392.5,338.5,428.5,314.0
37.0,378.5,322.0,417.5125,335.0
38.0,363.5,307.0,406.5125,298.0
39.0,347.0,291.4875,397.0125,323.0
40.0,331.0,278.4875,383.0125,300.0
41.0,316.0,265.0,368.525,280.0
42.0,302.0,253.0,354.5,285.0
43.0,288.5,244.4875,341.5,273.0
44.0,276.0,234.5,325.5,254.0
45.0,265.0,226.5,312.0,253.0
46.0,254.5,217.98749999999998,298.525,211.0
47.0,245.5,212.0,287.0,209.0
48.0,238.0,207.5,277.0125,232.0
49.0,230.75,202.9875,266.5,203.0
50.0,225.0,198.0,257.0,217.0
51.0,219.5,193.5,248.5125,199.0
52.0,215.0,190.4875,242.0125,206.0
53.0,211.0,186.4875,238.0125,217.0
54.0,207.0,182.9875,234.0,182.0
55.0,205.0,180.4875,232.0,173.0
56.0,202.0,178.9875,229.0,176.0
57.0,200.25,176.0,227.5125,154.0
58.0,199.0,173.5,226.0,166.0
59.0,198.0,172.98749999999998,225.5,157.0
