Day,median,ci_low,ci_high,truth
1.0,2.0,2.0,2.5,2.0
2.0,2.0,2.0,3.0,6.0
3.0,3.0,2.0,4.0,11.0
4.0,3.0,2.0,4.0,14.0
5.0,4.0,2.5,5.0,17.0
6.0,4.0,3.0,6.0,23.0
7.0,5.0,3.0,8.0,31.0
8.0,6.0,3.0,9.012499999999989,38.0
9.0,7.0,4.0,12.0,43.0
10.0,8.0,4.0,14.0,46.0
11.0,10.0,5.0,17.0,74.0
12.0,11.5,6.0,21.01249999999999,91.0
13.0,14.0,6.487500000000001,25.5,119.0
14.0,16.5,7.5,31.0,138.0
15.0,19.5,8.0,38.5,193.0
16.0,23.0,9.4875,47.02499999999998,255.0
17.0,27.5,10.5,57.0,257.0
18.0,32.5,12.0,68.0,324.0
19.0,39.0,14.5,82.5,372.0
20.0,46.0,16.0,98.02499999999998,412.0
21.0,54.5,18.5,113.01249999999999,422.0
22.0,63.5,21.0,138.0,407.0
23.0,73.75,26.0,158.0,411.0
24.0,86.5,29.475,180.52499999999998,450.0
25.0,99.75,32.9875,205.57499999999993,408.0
26.0,115.0,37.5,229.02499999999998,394.0
27.0,131.75,44.474999999999994,253.0125,371.0
28.0,149.5,48.9875,273.025,416.0
29.0,167.5,56.4625,292.0125,425.0
30.0,185.5,62.4375,304.0,388.0
31.0,204.75,73.9,310.025,387.0
32.0,224.0,84.4,315.0125,369.0
33.0,241.5,90.97500000000001,321.5125,386.0
34.0,256.0,104.94999999999999,324.5125,365.0
35.0,269.5,116.35000000000001,326.0125,328.0
36.0,279.25,128.975,327.025,314.0
37.0,286.0,141.9875,329.5125,335.0
38.0,292.0,154.5,330.5125,298.0
39.0,296.0,168.9375,332.0,323.0
40.0,298.5,182.9625,333.0,300.0
41.0,301.75,194.5,334.0125,280.0
42.0,303.5,208.5,333.5,285.0
43.0,305.0,222.97500000000002,334.025,273.0
44.0,306.5,239.9375,334.0,254.0
45.0,307.0,247.4,334.0125,253.0
46.0,308.0,256.45,335.5,211.0
47.0,308.5,260.5,335.025,209.0
48.0,309.0,265.9625,335.5125,232.0
49.0,310.0,270.5,334.5,203.0
50.0,310.5,273.47499999999997,335.5125,217.0
51.0,310.5,275.0,335.5,199.0
52.0,310.0,276.9875,335.0125,206.0
53.0,310.5,277.975,336.5,217.0
54.0,311.0,279.9875,336.0,182.0
55.0,310.5,280.5,335.5,173.0
56.0,311.0,281.0,335.5125,176.0
57.0,311.0,281.5,334.5125,154.0
58.0,311.0,281.48749999999995,335.5125,166.0
59.0,311.0,281.97499999999997,336.0,157.0
