Day,median,ci_low,ci_high,truth
1.0,2.0,2.0,2.0,2.0
2.0,2.0,2.0,3.0,6.0
3.0,2.0,1.5,3.0,11.0
4.0,2.0,1.4875000000000007,3.0,14.0
5.0,2.0,1.0,4.0,17.0
6.0,2.5,1.0,4.0,23.0
7.0,3.0,1.0,5.0,31.0
8.0,3.0,1.0,5.5,38.0
9.0,3.0,1.0,6.0,43.0
10.0,3.0,1.0,7.0,46.0
11.0,3.0,0.9875000000000007,8.0,74.0
12.0,3.0,0.0,8.5,91.0
13.0,3.5,0.0,10.0,119.0
14.0,4.0,0.0,11.5,138.0
15.0,4.0,0.0,13.5,193.0
16.0,4.0,0.0,15.0,255.0
17.0,4.5,0.0,17.0,257.0
18.0,5.0,0.0,19.5,324.0
19.0,5.0,0.0,22.0,372.0
20.0,5.5,0.0,26.0,412.0
21.0,6.0,0.0,29.01249999999999,422.0
22.0,6.5,0.0,33.51249999999999,407.0
23.0,7.0,0.0,38.52499999999998,411.0
24.0,7.5,0.0,43.51249999999999,450.0
25.0,8.5,0.0,49.01249999999999,408.0
26.0,9.5,0.0,55.5,394.0
27.0,10.0,0.0,64.5,371.0
28.0,10.5,0.0,70.53749999999997,416.0
29.0,12.5,0.0,83.5,425.0
30.0,13.5,0.0,92.01249999999999,388.0
31.0,14.5,0.0,100.01249999999999,387.0
32.0,16.0,0.0,113.06249999999994,369.0
33.0,17.0,0.0,123.0,386.0
34.0,18.0,0.0,133.52499999999998,365.0
35.0,21.0,0.0,148.02499999999998,328.0
36.0,22.5,0.0,158.0999999999999,314.0
37.0,26.0,0.0,172.5125,335.0
38.0,27.0,0.0,185.0,298.0
39.0,30.0,0.0,198.53749999999997,323.0
40.0,33.0,0.0,215.57499999999993,300.0
41.0,36.75,0.0,223.58749999999992,280.0
42.0,41.5,0.0,234.5,285.0
43.0,45.5,0.0,246.52499999999998,273.0
44.0,48.75,0.0,255.06249999999994,254.0
45.0,54.5,0.0,264.04999999999995,253.0
46.0,59.25,0.0,271.5125,211.0
47.0,63.25,0.0,280.5125,209.0
48.0,70.5,0.0,285.0125,232.0
49.0,73.25,0.0,288.025,203.0
50.0,81.0,0.0,294.0125,217.0
51.0,87.5,0.0,297.5125,199.0
52.0,95.0,0.0,304.025,206.0
53.0,102.0,0.0,307.0125,217.0
54.0,112.5,0.0,310.0125,182.0
55.0,119.25,0.0,314.5125,173.0
56.0,126.75,0.0,317.5,176.0
57.0,135.75,0.0,320.5125,154.0
58.0,145.25,0.0,322.5,166.0
59.0,153.75,0.0,327.0125,157.0
