Day,median,ci_low,ci_high,truth
1.0,2.0,1.0,2.0,2.0
2.0,2.0,2.0,3.0,6.0
3.0,3.0,2.0,4.0,11.0
4.0,4.0,3.0,5.0,14.0
5.0,5.0,4.0,7.0,17.0
6.0,7.0,5.0,10.0,23.0
7.0,9.5,6.5,13.5,31.0
8.0,12.5,9.0,18.0,38.0
9.0,17.0,11.0,25.0,43.0
10.0,22.5,15.0,35.0,46.0
11.0,29.5,19.0,46.5,74.0
12.0,39.0,25.0,61.51249999999999,91.0
13.0,51.5,31.4875,82.01249999999999,119.0
14.0,67.5,40.5,107.52499999999998,138.0
15.0,87.5,52.4875,140.5,193.0
16.0,112.0,64.9875,177.5125,255.0
17.0,141.5,82.98750000000001,222.04999999999995,257.0
18.0,175.0,103.48750000000001,267.0,324.0
19.0,212.0,127.0,311.025,372.0
20.0,252.0,154.97500000000002,354.525,412.0
21.0,293.5,188.47500000000002,389.525,422.0
22.0,331.0,221.0,414.025,407.0
23.0,364.75,258.0,434.0,411.0
24.0,391.75,293.4625,442.0125,450.0
25.0,408.0,323.5,446.0,408.0
26.0,417.25,352.9875,447.0,394.0
27.0,421.0,378.9875,448.0,371.0
28.0,421.5,391.4875,445.5,416.0
29.0,418.5,395.5,443.0125,425.0
30.0,415.0,392.0,438.5125,388.0
31.0,408.0,381.5,434.0125,387.0
32.0,400.0,371.0,427.5125,369.0
33.0,390.0,358.97499999999997,420.5125,386.0
34.0,379.0,343.9875,412.5125,365.0
35.0,367.5,331.5,406.5125,328.0
36.0,355.0,319.9875,394.0,314.0
37.0,343.25,308.0,385.0,335.0
38.0,331.0,297.5,370.0125,298.0
39.0,319.5,288.0,358.5,323.0
40.0,309.0,278.0,346.04999999999995,300.0
41.0,298.5,269.0,335.0,280.0
42.0,288.5,260.4875,321.5,285.0
43.0,279.0,252.0,310.525,273.0
44.0,269.5,244.0,300.0,254.0
45.0,262.0,237.0,290.0,253.0
46.0,254.5,230.5,281.0,211.0
47.0,246.5,224.4875,271.5125,209.0
48.0,240.0,218.4875,264.0,232.0
49.0,233.5,212.5,256.0,203.0
50.0,227.0,206.5,249.0,217.0
51.0,221.5,201.5,242.52499999999998,199.0
52.0,216.0,197.0,236.0125,206.0
53.0,211.0,192.0,230.0,217.0
54.0,206.0,187.0,225.0125,182.0
55.0,202.0,183.0,220.5,173.0
56.0,198.0,179.0,218.0,176.0
57.0,194.0,174.0,213.0,154.0
58.0,190.0,171.0,209.5,166.0
59.0,186.75,167.975,205.5,157.0
