Day,median,ci_low,ci_high,truth
1.0,2.0,1.0,2.0,2.0
2.0,2.0,2.0,3.0,6.0
3.0,3.0,2.0,4.0,11.0
4.0,4.0,3.0,5.0,14.0
5.0,5.0,3.9875000000000007,7.0,17.0
6.0,6.5,5.0,9.0,23.0
7.0,9.0,6.0,12.0,31.0
8.0,11.5,8.0,16.51249999999999,38.0
9.0,15.0,10.0,22.01249999999999,43.0
10.0,20.0,13.0,30.0,46.0
11.0,26.0,16.5,41.0,74.0
12.0,34.0,21.5,55.0,91.0
13.0,45.0,26.9875,72.51249999999999,119.0
14.0,58.0,34.0,97.0,138.0
15.0,74.25,43.5,123.51249999999999,193.0
16.0,95.5,55.487500000000004,159.5,255.0
17.0,120.5,68.5,199.0,257.0
18.0,151.5,87.47500000000001,242.52499999999998,324.0
19.0,184.0,107.4625,286.5125,372.0
20.0,223.0,134.9875,334.025,412.0
21.0,262.75,161.4625,373.5125,422.0
22.0,303.0,190.4875,404.5125,407.0
23.0,341.0,223.975,428.0,411.0
24.0,373.25,262.9375,439.0,450.0
25.0,398.0,298.9875,447.0,408.0
26.0,413.25,334.4125,449.5125,394.0
27.0,419.75,359.4875,449.0,371.0
28.0,422.0,379.96250000000003,449.0,416.0
29.0,420.5,390.0,447.0125,425.0
30.0,416.0,390.4875,443.0,388.0
31.0,410.0,381.5,439.5,387.0
32.0,402.0,371.98749999999995,433.0,369.0
33.0,392.0,356.5,425.0,386.0
34.0,381.0,342.5,417.0,365.0
35.0,369.0,330.9875,408.0,328.0
36.0,356.0,318.0,397.0,314.0
37.0,343.0,306.0,385.0,335.0
38.0,331.0,295.9875,373.5125,298.0
39.0,319.0,285.0,361.525,323.0
40.0,308.0,276.9875,349.0,300.0
41.0,297.5,268.0,335.5125,280.0
42.0,288.0,260.0,323.0,285.0
43.0,278.0,251.48749999999998,311.0125,273.0
44.0,269.5,243.9875,300.0125,254.0
45.0,262.0,236.98749999999998,291.0125,253.0
46.0,255.0,232.0,281.5,211.0
47.0,248.0,225.0,271.5125,209.0
48.0,241.5,220.0,263.5,232.0
49.0,236.0,214.9875,257.0,203.0
50.0,231.0,210.9875,251.0,217.0
51.0,225.5,205.0,246.0,199.0
52.0,221.0,201.0,240.0,206.0
53.0,217.0,196.4875,236.0,217.0
54.0,213.5,193.5,232.0,182.0
55.0,209.5,189.4875,228.0,173.0
56.0,206.0,186.9875,224.5,176.0
57.0,203.0,183.5,221.0125,154.0
58.0,200.5,180.98749999999998,218.0,166.0
59.0,198.0,177.0,216.5,157.0
