kmax,WAIC
1,1128.6752380815685
2,1147.7391002148297
3,1134.1903557927153
4,1101.8522534251308
5,1097.3110621623462
6,1078.1317252162917
7,1098.1474007523154
8,1068.5650210925664
9,1081.183842698873
10,1080.9562170070867
11,1062.0430648413558
12,1070.693634765227
13,1051.2604658808011
14,981.7342248841833
15,1027.7746820817438
16,1029.3691201216036
17,1013.8005855649978
18,1044.9797485775066
19,1040.7766528050095
20,1049.2713162006075
21,995.7942222533129
22,995.5615072139826
23,1035.5804589689328
24,1036.1208665039733
25,1044.100683031888
26,1046.3712562144642
27,1016.6090752968596
28,1056.8208882884317
29,987.0778215443088
30,1048.6773465857184
