Istar[1],Istar[2],Istar[3],Istar[4],Istar[5],Istar[6],Istar[7],Istar[8],Istar[9],Istar[10],Istar[11],Istar[12],Istar[13],Istar[14],Istar[15],Istar[16],Istar[17],Istar[18],Istar[19],Istar[20],Istar[21],Istar[22],Istar[23],Istar[24],Istar[25],Istar[26],Istar[27],Istar[28],Istar[29],Istar[30],Istar[31],Istar[32],Istar[33],Istar[34],Istar[35],Istar[36],Istar[37],Istar[38],Istar[39],Istar[40],Istar[41],Istar[42],Istar[43],Istar[44],Istar[45],Istar[46],Istar[47],Istar[48],Istar[49],Istar[50],Rstar[1],Rstar[2],Rstar[3],Rstar[4],Rstar[5],Rstar[6],Rstar[7],Rstar[8],Rstar[9],Rstar[10],Rstar[11],Rstar[12],Rstar[13],Rstar[14],Rstar[15],Rstar[16],Rstar[17],Rstar[18],Rstar[19],Rstar[20],Rstar[21],Rstar[22],Rstar[23],Rstar[24],Rstar[25],Rstar[26],Rstar[27],Rstar[28],Rstar[29],Rstar[30],Rstar[31],Rstar[32],Rstar[33],Rstar[34],Rstar[35],Rstar[36],Rstar[37],Rstar[38],Rstar[39],Rstar[40],Rstar[41],Rstar[42],Rstar[43],Rstar[44],Rstar[45],Rstar[46],Rstar[47],Rstar[48],Rstar[49],Rstar[50],alarm[1],alarm[2],alarm[3],alarm[4],alarm[5],alarm[6],alarm[7],alarm[8],alarm[9],alarm[10],alarm[11],alarm[12],alarm[13],alarm[14],alarm[15],alarm[16],alarm[17],alarm[18],alarm[19],alarm[20],alarm[21],alarm[22],alarm[23],alarm[24],alarm[25],alarm[26],alarm[27],alarm[28],alarm[29],alarm[30],alarm[31],alarm[32],alarm[33],alarm[34],alarm[35],alarm[36],alarm[37],alarm[38],alarm[39],alarm[40],alarm[41],alarm[42],alarm[43],alarm[44],alarm[45],alarm[46],alarm[47],alarm[48],alarm[49],alarm[50]
5.0,10.0,14.0,24.0,33.0,52.0,93.0,109.0,180.0,265.0,363.0,469.0,628.0,826.0,938.0,1069.0,1172.0,1217.0,1289.0,1292.0,1335.0,1304.0,1281.0,1301.0,1316.0,1326.0,1342.0,1353.0,1299.0,1272.0,1277.0,1305.0,1337.0,1293.0,1290.0,1293.0,1315.0,1285.0,1323.0,1258.0,1354.0,1294.0,1302.0,1301.0,1321.0,1300.0,1273.0,1272.0,1325.0,1403.0,3.0,2.0,4.0,13.0,9.0,21.0,30.0,40.0,65.0,108.0,139.0,179.0,286.0,399.0,541.0,588.0,713.0,891.0,957.0,1087.0,1147.0,1185.0,1186.0,1222.0,1206.0,1255.0,1310.0,1325.0,1308.0,1345.0,1346.0,1275.0,1352.0,1316.0,1296.0,1287.0,1259.0,1276.0,1288.0,1283.0,1265.0,1347.0,1300.0,1354.0,1289.0,1346.0,1294.0,1228.0,1305.0,1387.0,0.0,0.0011357210574052257,0.0030688115173469477,0.0053334726792056975,0.009180778397864353,0.013902224428803178,0.02145096439383576,0.0357640733282476,0.04918949867929412,0.07361264937611967,0.10785740939587718,0.1503780414031307,0.19868109868838602,0.25839130390121057,0.3287361656909681,0.39003681454301764,0.44662135835633787,0.4953155968187264,0.5318721870412686,0.5632692978614501,0.5844109644583018,0.6026126302894415,0.6122264439373178,0.6168557302206913,0.6218151661156317,0.6265524104637223,0.6306991253434038,0.634929555509845,0.6387898913736195,0.6370387010451727,0.6335478612813397,0.6314886961763977,0.632387876919527,0.6356912239160455,0.6343468355615809,0.6331453468789001,0.6325480393688192,0.6339694098814872,0.6324592847944042,0.6345750741932195,0.6306183024407921,0.6358721136722216,0.6345582172031019,0.6342979657935419,0.6340309249150351,0.635510559583703,0.6348031054564287,0.6320428203435928,0.6300007640116287,0.6330217860256636
9.0,11.0,21.0,25.0,42.0,69.0,95.0,142.0,208.0,311.0,448.0,549.0,712.0,896.0,1009.0,1068.0,1248.0,1197.0,1274.0,1288.0,1254.0,1370.0,1345.0,1398.0,1285.0,1347.0,1363.0,1312.0,1299.0,1327.0,1289.0,1296.0,1307.0,1281.0,1347.0,1271.0,1266.0,1354.0,1293.0,1317.0,1299.0,1304.0,1394.0,1312.0,1323.0,1257.0,1302.0,1339.0,1272.0,1347.0,2.0,2.0,8.0,15.0,9.0,20.0,36.0,52.0,76.0,112.0,167.0,255.0,302.0,463.0,577.0,678.0,799.0,908.0,1019.0,1109.0,1144.0,1120.0,1200.0,1269.0,1266.0,1354.0,1314.0,1345.0,1259.0,1326.0,1345.0,1343.0,1317.0,1313.0,1293.0,1352.0,1233.0,1332.0,1260.0,1299.0,1264.0,1290.0,1308.0,1385.0,1329.0,1327.0,1317.0,1346.0,1300.0,1308.0,0.0,0.002043373214701494,0.003933684346865585,0.0075218835477451895,0.010942306216948916,0.017150561614840076,0.027488812281663333,0.040397084032577024,0.05949346382180365,0.08653310439304107,0.12583743072367293,0.17852020173458116,0.23159694556160182,0.29363274620559265,0.36164181204846635,0.42071724825317636,0.46627083030566685,0.5164673051119644,0.5437126921947908,0.569615004071298,0.5883007432176446,0.5978732450918955,0.6148185359937488,0.6241924116514627,0.635102900270591,0.6332616884802638,0.6371310239553638,0.6411464656100654,0.6397796319676492,0.6377398085493446,0.6386128903756669,0.6360835513053957,0.6348745042164345,0.6349379594066202,0.6328097487520068,0.6368159498984175,0.6333057036931162,0.6303901916942273,0.6357136574831465,0.6343627024534519,0.6354106809131708,0.6346491954953504,0.6345290233922959,0.6418784790554721,0.6402975846618185,0.6400843506519787,0.6344677959323739,0.634234204142144,0.6371473304906352,0.63362514753485
5.0,13.0,17.0,22.0,43.0,50.0,67.0,121.0,173.0,248.0,344.0,502.0,661.0,795.0,970.0,1068.0,1176.0,1249.0,1311.0,1320.0,1298.0,1273.0,1328.0,1267.0,1298.0,1355.0,1322.0,1286.0,1357.0,1359.0,1248.0,1284.0,1223.0,1397.0,1342.0,1316.0,1337.0,1294.0,1305.0,1303.0,1281.0,1332.0,1332.0,1292.0,1238.0,1356.0,1233.0,1331.0,1337.0,1266.0,3.0,4.0,8.0,10.0,21.0,21.0,18.0,35.0,59.0,87.0,143.0,192.0,288.0,397.0,505.0,636.0,783.0,872.0,986.0,1084.0,1194.0,1162.0,1245.0,1207.0,1252.0,1250.0,1265.0,1307.0,1315.0,1316.0,1310.0,1314.0,1254.0,1280.0,1362.0,1332.0,1256.0,1286.0,1324.0,1336.0,1329.0,1233.0,1309.0,1309.0,1307.0,1332.0,1244.0,1326.0,1370.0,1285.0,0.0,0.0011357210574052257,0.0037483158606318456,0.006488919516635772,0.009541885675600215,0.016393661669154902,0.022749768057629405,0.030956026403809123,0.048449969124383374,0.07162863018456189,0.10305069598309635,0.14346083990408243,0.20011557905695343,0.26486904963526126,0.3281499410830142,0.3940937033453842,0.4490931252753839,0.4973643738283843,0.53660647538738,0.5685579560047798,0.5905884644733659,0.6034509729341513,0.6100541020400815,0.6194485204095324,0.6206882954701217,0.6242278336472331,0.6315279255162487,0.6338391832427279,0.6324510555877023,0.6373946957381539,0.6410025577743877,0.6343747245506088,0.6326622800989573,0.6262830870823635,0.6364517762003982,0.6389463840527042,0.638554991541596,0.6400089339190638,0.6374887682312408,0.6366159518977386,0.6358334024153554,0.633444648254065,0.6360143403810198,0.63781439152763,0.6357666536964393,0.629781102331268,0.6354571733413064,0.6291364360743904,0.6329209803837639,0.6360636140084486
9.0,16.0,25.0,32.0,44.0,57.0,100.0,149.0,204.0,336.0,459.0,545.0,693.0,857.0,1060.0,1136.0,1291.0,1234.0,1247.0,1322.0,1290.0,1350.0,1264.0,1298.0,1385.0,1341.0,1309.0,1316.0,1367.0,1309.0,1287.0,1269.0,1353.0,1232.0,1340.0,1332.0,1325.0,1302.0,1322.0,1228.0,1283.0,1301.0,1301.0,1305.0,1275.0,1285.0,1320.0,1244.0,1259.0,1234.0,4.0,6.0,4.0,13.0,13.0,21.0,38.0,56.0,70.0,123.0,190.0,280.0,330.0,403.0,581.0,672.0,812.0,980.0,1019.0,1139.0,1111.0,1181.0,1292.0,1209.0,1300.0,1275.0,1321.0,1292.0,1346.0,1288.0,1411.0,1258.0,1256.0,1305.0,1335.0,1298.0,1345.0,1296.0,1308.0,1359.0,1267.0,1273.0,1262.0,1326.0,1279.0,1258.0,1285.0,1299.0,1336.0,1208.0,0.0,0.002043373214701494,0.005064957443785212,0.009217507557324756,0.013703837909208705,0.019531020584028336,0.02649759917153549,0.04079874016028728,0.061265955142292494,0.08691670750956804,0.13105045985930242,0.1840206657379262,0.23453087623777147,0.29248183881901013,0.3552077066961593,0.42334616575124895,0.47616118563749643,0.52745748652904,0.5548202146619785,0.5744132273564742,0.5946976757056834,0.6055407738580617,0.6182711241478993,0.6196012857680986,0.6234692667675847,0.633522215708801,0.6368155803802262,0.6364726620354995,0.6368116602155429,0.6412516802466395,0.6396073157964896,0.6366236090756152,0.6330013529529305,0.6374464565890291,0.6304792641691491,0.6346096163930404,0.6368299310606712,0.6378081525794355,0.6365927881487492,0.6373932517168517,0.6301034640246872,0.6295589557492227,0.6306953042205825,0.6314939903071317,0.6323915985751893,0.6305010597437272,0.6300085453884363,0.6326081288613271,0.6280315756115247,0.6260550113794418
7.0,14.0,17.0,21.0,36.0,50.0,78.0,134.0,195.0,290.0,357.0,470.0,653.0,824.0,1018.0,1115.0,1230.0,1279.0,1296.0,1309.0,1362.0,1325.0,1290.0,1318.0,1331.0,1335.0,1299.0,1293.0,1342.0,1318.0,1356.0,1297.0,1239.0,1247.0,1274.0,1318.0,1286.0,1295.0,1345.0,1306.0,1313.0,1304.0,1267.0,1318.0,1211.0,1232.0,1357.0,1248.0,1340.0,1196.0,3.0,5.0,4.0,9.0,14.0,17.0,27.0,45.0,72.0,101.0,152.0,187.0,284.0,405.0,530.0,621.0,789.0,924.0,991.0,1130.0,1167.0,1187.0,1192.0,1275.0,1254.0,1320.0,1354.0,1327.0,1285.0,1342.0,1289.0,1351.0,1313.0,1278.0,1291.0,1253.0,1302.0,1283.0,1264.0,1281.0,1346.0,1325.0,1292.0,1314.0,1260.0,1289.0,1236.0,1292.0,1323.0,1300.0,0.0,0.0015896498252223612,0.00429370916300964,0.006872229913463035,0.009586110693595828,0.014858478949839382,0.02167514965591233,0.03262700669526852,0.05241109891517981,0.07897225709474764,0.11653501444683811,0.15505894483466987,0.20197703922156263,0.26473803068288904,0.3324873939770241,0.40341278695599103,0.4608854484160282,0.5110302424646243,0.548622769427811,0.5750229203696209,0.5939041969935107,0.6114340342951461,0.6201380977221641,0.623156306095004,0.6276562195519539,0.6318890919423977,0.6351764217211999,0.6344837881853866,0.6334932594298859,0.6368782637965904,0.6372629199101184,0.640664598385652,0.6382020230295393,0.6316111781239668,0.6275757255908478,0.6270113988738684,0.6303446142012763,0.6299826337796506,0.6304872551069238,0.6350320014369852,0.6349656120793474,0.6355017490051504,0.6351302108091477,0.6317710939921788,0.6336751422011138,0.6259864087209885,0.6222867405546066,0.6303563296704142,0.626767455947467,0.632026860827848
10.0,15.0,18.0,23.0,45.0,80.0,119.0,146.0,223.0,329.0,450.0,563.0,794.0,933.0,1082.0,1113.0,1261.0,1273.0,1325.0,1338.0,1383.0,1387.0,1363.0,1429.0,1344.0,1355.0,1411.0,1292.0,1397.0,1254.0,1319.0,1368.0,1370.0,1272.0,1263.0,1317.0,1337.0,1294.0,1327.0,1312.0,1317.0,1281.0,1253.0,1306.0,1316.0,1283.0,1282.0,1283.0,1313.0,1247.0,4.0,3.0,9.0,7.0,15.0,26.0,41.0,64.0,87.0,111.0,186.0,254.0,348.0,474.0,625.0,729.0,826.0,922.0,1030.0,1123.0,1199.0,1227.0,1286.0,1343.0,1317.0,1415.0,1369.0,1334.0,1260.0,1365.0,1407.0,1271.0,1309.0,1317.0,1336.0,1318.0,1323.0,1326.0,1334.0,1287.0,1344.0,1274.0,1342.0,1333.0,1282.0,1369.0,1255.0,1317.0,1181.0,1309.0,0.0,0.0022701579214413625,0.004998177318819019,0.0075930119479517,0.01054258551288978,0.017540798294593096,0.030188819010124268,0.047486150971025376,0.06524581182761602,0.09357091758571168,0.13414143692990144,0.18439962850364533,0.23790922953374505,0.3107153993200119,0.3778295274887252,0.44049620390119903,0.4844974635218672,0.5295643482428765,0.5601503691979468,0.5854541118679326,0.603587403318778,0.6198141232565495,0.6311869303566691,0.6370137871048611,0.6464327549629005,0.6461219681482612,0.6467909822159239,0.6517431153735606,0.6456940651945443,0.6498638219704548,0.6412490070865677,0.6404272540087104,0.6438535533329635,0.6464099793231725,0.6402405165501489,0.6350797326323537,0.6359146670465594,0.6381577639664732,0.6361761696996089,0.637514352841738,0.6372142257439036,0.6374166862304247,0.6345683749369226,0.6301916902776368,0.6315606981348442,0.6333603006601878,0.6318603596923135,0.6307154137756802,0.6299909265635284,0.6320082452601803
8.0,15.0,17.0,34.0,38.0,70.0,100.0,159.0,238.0,307.0,456.0,657.0,788.0,965.0,999.0,1136.0,1242.0,1265.0,1249.0,1325.0,1321.0,1367.0,1303.0,1295.0,1345.0,1322.0,1339.0,1332.0,1285.0,1377.0,1409.0,1303.0,1333.0,1319.0,1322.0,1292.0,1224.0,1399.0,1306.0,1286.0,1316.0,1273.0,1317.0,1249.0,1305.0,1263.0,1300.0,1272.0,1281.0,1319.0,3.0,4.0,8.0,8.0,14.0,25.0,32.0,48.0,76.0,139.0,178.0,249.0,389.0,527.0,598.0,711.0,815.0,975.0,1063.0,1150.0,1086.0,1233.0,1276.0,1232.0,1300.0,1269.0,1293.0,1338.0,1313.0,1332.0,1310.0,1358.0,1339.0,1328.0,1338.0,1329.0,1279.0,1296.0,1325.0,1325.0,1360.0,1274.0,1329.0,1275.0,1228.0,1327.0,1325.0,1247.0,1271.0,1297.0,0.0,0.001816537186474343,0.004679407677243397,0.0071433417385218245,0.012698135060848603,0.01748760366307678,0.027944820488470468,0.04180388309229788,0.06408942538410567,0.09586962647483965,0.13135458237167386,0.18366507912598518,0.25356383872910526,0.3197994156642475,0.38809754020089793,0.4364645933591864,0.48459079966281937,0.5275820760694061,0.5580390012058561,0.5767775271183713,0.5965622653804079,0.6095923508303324,0.6225062650699014,0.6259250998522567,0.6276364228602243,0.6330498973168714,0.6349056490393786,0.6376168645367272,0.6389388396479334,0.6359826265243974,0.6414941770650956,0.6479099430024617,0.6438461477331583,0.6434051551271724,0.6419514799265618,0.64116939693425,0.6381474448966686,0.6303083333673403,0.6393805545403001,0.6380359369033473,0.6354246470168736,0.6360741344841575,0.6329457017615658,0.6344155531160947,0.6297448044469887,0.6311628136419531,0.6286152375256443,0.6299480945017203,0.6285177189167679,0.6282708997869271
5.0,16.0,28.0,43.0,82.0,92.0,140.0,189.0,289.0,387.0,561.0,737.0,934.0,1028.0,1110.0,1218.0,1258.0,1293.0,1324.0,1212.0,1322.0,1396.0,1369.0,1300.0,1311.0,1344.0,1321.0,1283.0,1355.0,1272.0,1302.0,1319.0,1344.0,1258.0,1288.0,1307.0,1298.0,1301.0,1209.0,1277.0,1322.0,1268.0,1301.0,1276.0,1275.0,1255.0,1307.0,1261.0,1277.0,1275.0,1.0,5.0,5.0,10.0,21.0,35.0,57.0,80.0,114.0,160.0,222.0,303.0,460.0,605.0,676.0,857.0,928.0,1040.0,1065.0,1177.0,1154.0,1253.0,1261.0,1242.0,1317.0,1297.0,1320.0,1312.0,1260.0,1318.0,1315.0,1322.0,1287.0,1388.0,1325.0,1297.0,1251.0,1328.0,1303.0,1219.0,1297.0,1277.0,1303.0,1335.0,1273.0,1221.0,1205.0,1232.0,1276.0,1290.0,0.0,0.0011357210574052257,0.004427359092942895,0.009445744175958448,0.016326379482663023,0.02978532022317315,0.04134104370414582,0.05971815541015124,0.0827329924677288,0.11887872787232623,0.16237443552696884,0.2231057383949938,0.29217829024979525,0.3662236342629307,0.4261410080613004,0.4748495208902659,0.5186783293303978,0.5514680247259935,0.5766232615198095,0.5963665305404307,0.5996226936873292,0.6117705917607654,0.6264726517998507,0.634251359202508,0.6339144981002258,0.6345956449589611,0.6378137041941246,0.6381695610894231,0.6352697912527843,0.6391919381700039,0.6350810903210462,0.6346667671043373,0.6357906911865734,0.6386488568394734,0.6335247741077711,0.6323965550432573,0.633193816984776,0.633001377145612,0.6331170459275006,0.6254140322104209,0.6257434479148989,0.6297976719692372,0.6280718795798812,0.6296511952397484,0.6286469396766884,0.6278526868038729,0.6255865976535451,0.6284182203873516,0.6264995076302198,0.6265080257644956
4.0,11.0,19.0,20.0,32.0,62.0,84.0,142.0,219.0,311.0,409.0,604.0,746.0,940.0,1038.0,1204.0,1289.0,1286.0,1275.0,1283.0,1355.0,1348.0,1350.0,1342.0,1274.0,1377.0,1294.0,1258.0,1357.0,1352.0,1383.0,1305.0,1370.0,1315.0,1340.0,1370.0,1363.0,1297.0,1324.0,1323.0,1237.0,1313.0,1301.0,1279.0,1262.0,1295.0,1262.0,1287.0,1330.0,1237.0,1.0,4.0,8.0,8.0,6.0,21.0,28.0,43.0,75.0,117.0,153.0,245.0,320.0,464.0,582.0,712.0,853.0,994.0,1128.0,1074.0,1140.0,1225.0,1294.0,1296.0,1278.0,1330.0,1335.0,1235.0,1305.0,1221.0,1351.0,1374.0,1340.0,1316.0,1394.0,1332.0,1352.0,1330.0,1370.0,1381.0,1324.0,1244.0,1282.0,1286.0,1315.0,1267.0,1333.0,1297.0,1318.0,1250.0,0.0,0.0009086796276764897,0.0031357205625300866,0.006510153605399305,0.009106480985171306,0.013625952805774055,0.02347988010397406,0.035201680757381504,0.05590771430511188,0.08636780969242008,0.12572594281959093,0.17112581971997565,0.23634468277933263,0.30213425496726554,0.37337849561985403,0.4320114600547821,0.4896941869163034,0.5358854721929517,0.5656147149330557,0.5843764044833434,0.5978455929502995,0.6134789117558952,0.6235296164916269,0.6306241995463989,0.6348773599323949,0.632179515714439,0.6388586059256873,0.6366728789225816,0.6321138007527273,0.6371602505027438,0.6402645695823803,0.64495797982388,0.6419081586962759,0.6450499703768434,0.6427899942590198,0.6432309241218704,0.6459744674124861,0.647331990059399,0.6429455201556427,0.6420351810318279,0.6413104086703016,0.6336769643373183,0.6345954520254429,0.6342407374205798,0.632147806959577,0.6292297733834241,0.6299576020277267,0.6276755310391859,0.6281868024684698,0.6321748771959017
8.0,6.0,8.0,12.0,11.0,17.0,23.0,47.0,65.0,108.0,158.0,227.0,339.0,430.0,554.0,726.0,885.0,1037.0,1095.0,1235.0,1299.0,1297.0,1291.0,1262.0,1361.0,1309.0,1337.0,1292.0,1359.0,1284.0,1403.0,1284.0,1342.0,1288.0,1299.0,1296.0,1412.0,1325.0,1271.0,1315.0,1329.0,1354.0,1334.0,1279.0,1361.0,1315.0,1311.0,1240.0,1279.0,1310.0,3.0,6.0,7.0,9.0,7.0,6.0,10.0,17.0,20.0,34.0,56.0,89.0,122.0,171.0,255.0,338.0,420.0,604.0,735.0,807.0,930.0,998.0,1152.0,1139.0,1177.0,1211.0,1307.0,1318.0,1315.0,1271.0,1307.0,1347.0,1299.0,1277.0,1279.0,1289.0,1340.0,1357.0,1320.0,1309.0,1265.0,1344.0,1322.0,1305.0,1360.0,1307.0,1323.0,1335.0,1271.0,1277.0,0.0,0.001816537186474343,0.0026414081521465294,0.003675261950032316,0.005307861598424002,0.006230897823400694,0.008234213814133695,0.010993138578301864,0.018302446453385524,0.027408287123547037,0.043172791511753905,0.0648193589816477,0.09410376108672636,0.1364662912666127,0.1822318408092305,0.2349167774004225,0.2980260713849673,0.36284942013162225,0.4251686367780749,0.47242181063703126,0.5189788801880275,0.5558384495946499,0.5799187677095672,0.595549447527872,0.6036004045772997,0.6179091404973609,0.6232368197873244,0.6293234134028531,0.6297700133567616,0.635699056514187,0.6336003727654378,0.641973808271817,0.6380588218642014,0.6400718455060236,0.6370365881370206,0.6357980896254001,0.6346727006595232,0.643445970678467,0.6424704451874487,0.6373379726125403,0.6373382991670653,0.6384957712977152,0.6413619758987346,0.6417360241245851,0.6374758830567302,0.6412230594814462,0.6400804027845413,0.6389434527434492,0.6322272538465005,0.6307219979680398
